Music Videos: id, id_artist, name, original name, type, published date, pak (y/n), views, likes, circle streaming score
75740,397,"Rhapsody","Rhapsody",main,2006-07-15 00:00:00,n,171058,1607,0
11168,185,"Never Again","Never Again",duplicate,2006-07-28 00:00:00,n,2744710,8588,0
8556,189,"Dancing Out","Dancing Out",duplicate,2006-08-03 00:00:00,n,728910,2409,0
8544,207,"Hug","포옹",duplicate,2006-08-04 00:00:00,n,1103694,4136,0
11447,932,"Why","와이",main,2006-08-08 00:00:00,n,550159,1335,0
47038,5745,"Spring, Summer, Fall, Winter","봄 여름 가을 겨울",main,2006-08-23 00:00:00,n,129054,500,0
60479,944,"Turn a Deaf Ear","마이동풍",main,2006-09-02 00:00:00,n,270216,476,0
11488,935,"Forever","영원",duplicate,2006-09-08 00:00:00,n,58856,218,0
11490,935,"You Wouldn\'t Know","당신은 모르실거야",duplicate,2006-09-08 00:00:00,n,72833,207,0
31509,173,"Hey, Come On!","Hey, Come On!",main,2006-09-17 00:00:00,n,336109,2145,0
11479,934,"A Song For Lady","For 연가",main,2006-09-21 00:00:00,n,300049,948,0
8545,207,"O-Jung.Bab.Hap","정반합",duplicate,2006-10-01 00:00:00,n,969041,3312,0
21566,4007,"Passion","패션",main,2006-10-18 00:00:00,n,8738011,14662,0
71610,7411,"Love Me Love Me","러브미 러브미",main,2006-10-18 00:00:00,n,125066,1023,0
15219,1208,"Woman","Woman",main,2006-10-21 00:00:00,n,143876,1658,0
12934,349,"Timeless","Timeless",duplicate,2006-10-28 00:00:00,n,762113,1430,0
8543,207,"Balloons","풍선",duplicate,2006-11-10 00:00:00,n,1627045,6577,0
71439,206,"History","History",main,2006-11-16 00:00:00,n,85526,421,0
35936,1085,"Saying I Love You","사랑한다는 말",main,2006-11-16 00:00:00,n,1526636,6181,0
13356,185,"Unlock","언락",duplicate,2006-12-03 00:00:00,n,1032952,2954,0
20184,158,"Entertainer","연예인",main,2006-12-03 00:00:00,n,211841,1876,0
73128,8412,"Going Crazy","Going Crazy",main,2006-12-05 00:00:00,n,36763,129,0
33654,4007,"Paran","파란",main,2006-12-06 00:00:00,n,1034791,3104,0
37070,4907,"Bingo","빙고",main,2006-12-08 00:00:00,n,1274894,16208,0
15449,1263,"Change","Change",main,2006-12-21 00:00:00,n,67262,136,0
15450,1263,"Chance To Part","헤어지는 기회",main,2006-12-21 00:00:00,n,74915,131,0
13355,185,"Four Chance","4Chance",duplicate,2006-12-22 00:00:00,n,2044891,6877,0
19298,1531,"Happy Birthday To Me","Happy Birthday To Me",main,2007-01-10 00:00:00,n,126067,853,0
74491,384,"Funk the World","시큰둥",main,2007-01-14 00:00:00,n,72209,94,0
51796,6380,"Fly High","플라이 하이",main,2007-01-15 00:00:00,n,345654,605,0
37076,4907,"4 Seasons","사계",main,2007-01-17 00:00:00,n,3371364,5985,0
13353,57,"Fan","Fan",duplicate,2007-01-23 00:00:00,n,1165361,4990,0
31550,1000,"Run To You","런투유",main,2007-01-31 00:00:00,n,5002026,29136,0
60869,7393,"THE ANARCHIST","반전",main,2007-02-01 00:00:00,n,47160,149,0
11480,935,"Blue Rain","Blue Rain",duplicate,2007-02-01 00:00:00,n,368732,1334,0
11174,185,"Coward","겁쟁이",main,2007-02-19 00:00:00,n,1512411,6890,0
11243,57,"Peace Day","평화의 날",duplicate,2007-02-26 00:00:00,n,142130,370,0
16676,1330,"Shee","Shee",main,2007-03-22 00:00:00,n,479580,2946,0
16801,1183,"Violet","Violet",main,2007-03-26 00:00:00,n,85458,430,0
33756,262,"Audition","오디션",main,2007-04-01 00:00:00,n,330564,1794,0
11044,117,"Break It","Break It",main,2007-04-10 00:00:00,n,1634491,3123,0
11246,57,"Love Love Love","Love Love Love",duplicate,2007-04-10 00:00:00,n,3397002,12103,0
60396,1000,"Complete Absence of Ego","무아지경",main,2007-04-26 00:00:00,n,15290,25,0
61330,347,"Memories resemble Love","추억은 사랑을 닮아",main,2007-05-23 00:00:00,n,560211,2426,0
15451,1263,"Fine","Fine",main,2007-05-31 00:00:00,n,5507,14,0
15089,67,"Lovesick","사랑앓이",duplicate,2007-06-04 00:00:00,n,2043149,5452,0
50320,3106,"Love Brings Separation","사랑은 이별을 데리고 오다",main,2007-06-05 00:00:00,n,146867,742,0
64744,7840,"Call Call Call","Call Call Call",main,2007-06-11 00:00:00,n,469123,1939,0
50329,1013,"Handkerchief","손수건",duplicate,2007-06-29 00:00:00,n,20836,184,0
58777,7178,"Later Later","이따이따요",main,2007-07-01 00:00:00,n,444157,790,0
50327,321,"My Angel","마이 엔젤",main,2007-07-03 00:00:00,n,656134,1753,0
8537,189,"Happiness","행복",duplicate,2007-07-06 00:00:00,n,5817551,13884,0
32345,4564,"I can\'t hide it","숨길 수 없어요",main,2007-07-07 00:00:00,n,235548,876,0
32346,4564,"Rainbow","무지개",main,2007-07-07 00:00:00,n,62966,199,0
32347,4564,"Love Virus","Love Virus",main,2007-07-07 00:00:00,n,12606,71,0
32348,4564,"Last Scene","Last Scene",main,2007-07-07 00:00:00,n,86097,744,0
32349,4564,"Cheer up, Mr. Kim","힘을 내요 미스터 김",main,2007-07-07 00:00:00,n,206530,908,0
32350,4564,"Come Closer","내게로 와",main,2007-07-07 00:00:00,n,77725,597,0
58769,7178,"Oh My","어머나",main,2007-07-07 00:00:00,n,556184,965,0
3853,449,"Gazing Blankly","물끄러미",main,2007-07-13 00:00:00,n,339501,550,0
11046,117,"If U Wanna","If U Wanna",duplicate,2007-07-13 00:00:00,n,266928,633,0
64490,7816,"Cocktail Love","칵테일 사랑",main,2007-07-15 00:00:00,n,6022128,16250,0
12586,990,"Brown Hair","Brown Hair",main,2007-07-16 00:00:00,n,235876,565,0
15218,1208,"Sori","소리",main,2007-07-28 00:00:00,n,118822,446,0
60670,4626,"Prince of the sea","바다의 왕자",main,2007-08-23 00:00:00,n,1386674,4365,0
60378,7057,"Cool Hage","쿨하게",main,2007-09-03 00:00:00,n,240641,773,0
10201,78,"Into the new world","다시 만난 세계",duplicate,2007-09-10 00:00:00,n,2363481,7869,0
77734,7538,"My World","거인",main,2007-09-18 00:00:00,n,54652,346,0
29197,4352,"Why calling","왜 불러",duplicate,2007-09-20 00:00:00,n,390941,1381,0
73405,8473,"Much Much","많이많이",main,2007-09-21 00:00:00,n,31627,95,0
8542,189,"Don\'t Don","돈 돈",duplicate,2007-09-22 00:00:00,n,3041107,9270,0
8540,189,"Wonder Boy","Wonder Boy",main,2007-09-23 00:00:00,n,3732891,12738,0
13830,1513,"8:45 Heaven","8:45 Heaven",main,2007-09-25 00:00:00,n,1249561,5585,0
19785,609,"Good Person","좋은사람",main,2007-09-26 00:00:00,n,11129422,21084,0
3502,130,"Because You\'re My Woman","내 여자라니까",main,2007-09-30 00:00:00,n,1181184,10448,0
11451,932,"Yayaya","야야야",main,2007-10-14 00:00:00,n,492679,5451,0
20614,262,"Comet","혜성",main,2007-10-22 00:00:00,n,250078,1910,0
11486,935,"Now","나우",duplicate,2007-10-23 00:00:00,n,588239,2710,0
67178,7973,"Strangers","타인",main,2007-11-17 00:00:00,n,2036287,5025,0
72486,4469,"Only Love","Only Love",main,2007-12-08 00:00:00,n,952,20,0
77749,8783,"Alien Squid","오징어 외계인",main,2007-12-30 00:00:00,n,67460,318,0
74501,8559,"Everybody Get Down","Everybody Get Down",main,2008-01-05 00:00:00,n,101112,888,0
3361,219,"Stupid","이 바보",main,2008-01-28 00:00:00,n,2609966,11700,0
3362,219,"Take it!","가져가",main,2008-01-28 00:00:00,n,3086284,6648,0
936,219,"Tell me","텔 미",main,2008-01-28 00:00:00,n,58411539,1210903,0
3363,112,"Kiss","키스",duplicate,2008-01-29 00:00:00,n,170243,1399,0
28787,112,"Your House","니가 사는 그 집",duplicate,2008-01-29 00:00:00,n,99147,681,0
10477,365,"I Miss You","보고싶다",main,2008-01-30 00:00:00,n,5271334,24186,0
53705,6613,"Somebody","Somebody",main,2008-02-04 00:00:00,n,27041,81,0
50364,6270,"Thump","쿵짝",main,2008-02-06 00:00:00,n,50726,201,0
46477,5626,"I Will","내가그댈",main,2008-02-18 00:00:00,n,282739,835,0
15628,1088,"One More Time","원 모어 타임",main,2008-02-22 00:00:00,n,2999080,9519,0
11177,185,"Dejavu","데자뷰",duplicate,2008-03-26 00:00:00,n,3628910,10333,0
8552,78,"Baby Baby","베이비 베이비",duplicate,2008-04-01 00:00:00,n,1169445,1898,0
11247,57,"One","원",duplicate,2008-04-17 00:00:00,n,3761934,15550,0
59332,1088,"Everybody Shh!","모두 다 쉿!",main,2008-04-29 00:00:00,n,112128,401,0
3368,374,"To my Mother","어머님께",main,2008-05-15 00:00:00,n,839007,6506,0
75201,7413,"Imagination","상상",main,2008-05-15 00:00:00,n,47774,133,0
9668,219,"So Hot","쏘 핫",duplicate,2008-05-22 00:00:00,n,7158474,9091,0
9669,172,"Replay","누난 너무 예뻐",duplicate,2008-05-22 00:00:00,n,3328552,8966,0
32554,130,"I\'ll Give It All","다 줄꺼야",main,2008-05-31 00:00:00,n,556373,2178,0
74107,8517,"A Lover","애인",main,2008-06-02 00:00:00,n,13656,64,0
40309,595,"Let Me Go","Let Me Go",main,2008-06-10 00:00:00,n,1096547,36397,0
40311,595,"Forget Love And Sing","사랑을 잃고 난 노래하네",main,2008-06-10 00:00:00,n,232605,5738,0
60824,5332,"Energy","에너지",main,2008-06-16 00:00:00,n,518629,1994,0
40308,595,"I Love You","소녀시대",main,2008-06-18 00:00:00,n,339891,4359,0
11250,57,"Breakdown","Breakdown",duplicate,2008-06-19 00:00:00,n,116474,780,0
37075,4907,"Ya","야",main,2008-06-21 00:00:00,n,963253,1025,0
47436,5836,"Promise You","Promise U",main,2008-06-30 00:00:00,n,116504,604,0
16838,172,"Replay","누난 너무 예뻐",duplicate,2008-07-06 00:00:00,n,10360157,42849,0
11474,934,"Happiness","행복",duplicate,2008-07-06 00:00:00,n,500775,0,0
74046,6281,"Love Today","Love Today",main,2008-07-11 00:00:00,n,399835,2324,0
61321,369,"Goodbye My Love","안녕 나의 사랑",main,2008-07-13 00:00:00,n,1081284,1263,15
43293,185,"Never Again","Never Again",main,2008-07-19 00:00:00,n,43607,187,0
50286,6256,"Better Than Yesterday","Better Than Yesterday",duplicate,2008-07-19 00:00:00,n,827029,5243,0
60823,1538,"If I have you only","그대만 있다면",main,2008-07-19 00:00:00,n,1826783,9478,0
11248,57,"Umbrella","우산",duplicate,2008-07-24 00:00:00,n,1138708,5103,0
60806,1195,"I Want Love","사랑을 원해",main,2008-07-25 00:00:00,n,270182,545,0
9765,185,"A Song Calling For you","널부르는 노래",duplicate,2008-07-27 00:00:00,n,6298583,16085,0
11047,117,"Rock U","Rock U",duplicate,2008-07-30 00:00:00,n,3197404,3544,0
77729,8775,"Never Ending Story","Never Ending Story",main,2008-07-31 00:00:00,n,94307,252,0
16001,206,"X","X",main,2008-08-01 00:00:00,n,54044,153,0
58295,355,"A Person in My Dream","몽중인",main,2008-08-01 00:00:00,n,125198,328,0
11484,935,"Forever Love","영원한 사랑",main,2008-08-01 00:00:00,n,1031781,2017,0
18729,371,"Passion","열정",duplicate,2008-08-10 00:00:00,n,177164,1543,0
3349,371,"All night long","밤새도록",main,2008-08-11 00:00:00,n,320576,1433,0
18725,371,"Start Line","Start Line",main,2008-08-15 00:00:00,n,131068,1019,0
60477,1000,"One Night","One Night",main,2008-08-15 00:00:00,n,143040,469,0
18722,371,"Be good to you","잘할게",duplicate,2008-08-16 00:00:00,n,147175,1488,0
18730,371,"Tattoo","문신",duplicate,2008-08-16 00:00:00,n,268497,1833,0
18731,371,"I Know","난 알아요",duplicate,2008-08-16 00:00:00,n,104905,791,0
14441,28,"Oh My Friend","Oh My Friend",main,2008-08-16 00:00:00,n,1299174,10211,0
18732,371,"Come back to me Part.1","와줘1",duplicate,2008-08-20 00:00:00,n,526189,4221,0
18733,371,"Come back to me Part.2","와줘2",duplicate,2008-08-20 00:00:00,n,628515,3872,0
43388,1263,"Tears","티얼스",main,2008-08-20 00:00:00,n,6285237,25149,227
17598,1396,"Like a man","남자답게",main,2008-08-26 00:00:00,n,119617,857,0
3417,256,"Get up","Get up",main,2008-09-03 00:00:00,n,279933,4499,0
2638,5,"10 out of 10","10점 만점에 10점",main,2008-09-18 00:00:00,n,7574647,57991,0
78899,173,"Eusha! Eusha!","으쌰! 으쌰!",main,2008-09-20 00:00:00,n,552759,6208,0
3364,219,"Nobody","노바디",duplicate,2008-09-21 00:00:00,n,4055185,12486,0
18986,932,"Killer","킬러",main,2008-09-28 00:00:00,n,55803,145,0
72493,1085,"Standstill","제자리 걸음",main,2008-09-28 00:00:00,n,186317,1266,0
35937,1085,"Loveable","사랑스러워",main,2008-09-28 00:00:00,n,12961099,168307,0
72494,1085,"Star, Wind, Sunlight and Love","별, 바람, 햇살 그리고 사랑",main,2008-09-29 00:00:00,n,209521,839,0
11252,57,"1minute 1second","1분 1초",duplicate,2008-09-30 00:00:00,n,507486,2911,0
16431,1314,"GOOD LOVE","GOOD LOVE",main,2008-10-02 00:00:00,n,145000,1704,0
16432,1314,"MOTHER","어머니",main,2008-10-02 00:00:00,n,114138,1124,0
16433,1314,"NASTY","NASTY",main,2008-10-02 00:00:00,n,157698,1521,0
16434,1314,"HOT","HOT 뜨거",main,2008-10-02 00:00:00,n,2641879,37251,0
16435,1314,"DO YOU KNOW ME?","니가 날 알어?",main,2008-10-02 00:00:00,n,416746,5048,0
16436,1314,"HOW MANY TIMES","몇번이나",main,2008-10-02 00:00:00,n,286960,3226,0
16437,1314,"ONE LOVE","ONE LOVE",main,2008-10-02 00:00:00,n,1515739,11589,0
16438,1314,"MAKE IT LAST","MAKE IT LAST",main,2008-10-02 00:00:00,n,103246,1049,0
16439,1314,"CRY","CRY",main,2008-10-02 00:00:00,n,212424,1920,0
16440,1314,"WITHOUT YOU","WITHOUT YOU",main,2008-10-02 00:00:00,n,3517982,24908,0
16441,1314,"1TYM","1TYM",main,2008-10-02 00:00:00,n,1274840,23327,0
1145,68,"This Love","This Love",main,2008-10-02 00:00:00,n,13890857,118330,29
1146,28,"We belong together","We belong together",main,2008-10-02 00:00:00,n,21096066,143265,0
15365,28,"Always","Always",duplicate,2008-10-03 00:00:00,n,3332489,23630,0
15366,28,"Goodbye Baby","Goodbye Baby",main,2008-10-03 00:00:00,n,5218570,26356,0
15367,28,"Dirty Cash","Dirty Cash",main,2008-10-03 00:00:00,n,3159197,33221,0
2056,237,"I\'m sorry","미안해요",main,2008-10-03 00:00:00,n,4764030,53590,0
15368,28,"A Fool of Tears","눈물뿐인 바보",main,2008-10-03 00:00:00,n,3871901,28147,0
15369,28,"Forever With U","Forever With U",main,2008-10-03 00:00:00,n,9415679,79502,0
3380,237,"Memory Loss","기억상실",main,2008-10-03 00:00:00,n,566140,3236,0
15668,199,"Ma Girl","Ma Girl",main,2008-10-03 00:00:00,n,5229089,25984,0
16442,1315,"GASOLINE","GASOLINE",main,2008-10-03 00:00:00,n,449308,3329,0
16443,1315,"A-YO","에이요",main,2008-10-03 00:00:00,n,1823002,17012,0
43323,237,"Fairy Tale","동화",main,2008-10-03 00:00:00,n,223289,1007,0
43324,237,"No","아니",main,2008-10-03 00:00:00,n,407324,2452,0
16445,1315,"HOW DEEP IS YOUR LOVE","HOW DEEP IS YOUR LOVE",main,2008-10-03 00:00:00,n,742227,5954,0
15166,28,"Last Farewell","마지막 인사",duplicate,2008-10-03 00:00:00,n,4311722,0,0
16446,1315,"WHAT U WANNA DO","이제 더 이상",main,2008-10-03 00:00:00,n,78769,617,0
16447,1315,"TAEKWON V","TAEKWON V",main,2008-10-03 00:00:00,n,160435,920,0
77650,8782,"Ae song","애송이",main,2008-10-03 00:00:00,n,846874,6391,0
77651,8782,"LET ME DANCE","LET ME DANCE",main,2008-10-03 00:00:00,n,1001746,5334,0
77652,8782,"GIRLS","GIRLS",main,2008-10-03 00:00:00,n,493904,2510,0
77653,8782,"Oath","맹세",main,2008-10-03 00:00:00,n,118377,528,0
77654,8782,"Above The Sky","하늘위로",main,2008-10-03 00:00:00,n,112351,1007,0
73047,8397,"YMCA Baseball Team","YMCA 야구단",main,2008-10-03 00:00:00,n,830907,6314,0
35927,206,"Goodbye Yesterday","Goodbye Yesterday",main,2008-10-03 00:00:00,n,422255,1485,0
73048,8397,"Hip Hop Gentlemen","멋쟁이 신사",main,2008-10-03 00:00:00,n,2594336,63694,0
876,28,"Lies","거짓말",main,2008-10-03 00:00:00,n,83833487,462462,0
877,28,"Haru Haru","하루하루",main,2008-10-03 00:00:00,n,222215022,1345150,37
880,28,"La-la-la","라라라",main,2008-10-03 00:00:00,n,22151237,196108,0
71546,1085,"Tonight","Tonight",main,2008-10-03 00:00:00,n,91280,566,0
9650,237,"Forget Me Now","날 그만 잊어요",main,2008-10-03 00:00:00,n,3114605,18488,0
9653,237,"If You Come Back","그대 돌아오면",main,2008-10-03 00:00:00,n,676033,2892,0
9658,237,"Childish Adult","어른아이",main,2008-10-03 00:00:00,n,902477,8815,0
3348,371,"Passion","열정",main,2008-10-08 00:00:00,n,3661762,20596,0
3350,371,"Crazy","Crazy",main,2008-10-08 00:00:00,n,974773,5160,0
3351,371,"La La La","라라라",main,2008-10-08 00:00:00,n,5102166,24743,0
3352,371,"Style","Style",main,2008-10-08 00:00:00,n,319727,1571,0
3353,371,"Tattoo","문신",main,2008-10-08 00:00:00,n,575988,3254,0
3355,371,"Come back to me Part.1","와줘1",main,2008-10-08 00:00:00,n,2686337,33811,0
3357,371,"One more time","한번 단 한번",main,2008-10-08 00:00:00,n,806716,4532,0
3365,5,"10 out of 10","10 out of 10",alternate,2008-10-08 00:00:00,n,2841536,32319,0
878,28,"How Gee","How Gee",main,2008-10-08 00:00:00,n,4944963,34838,0
1135,28,"Number 1","Number 1",main,2008-10-08 00:00:00,n,6767793,31802,0
10478,371,"I Know","난 알아요",main,2008-10-08 00:00:00,n,766420,4218,0
3345,371,"Come back to me Part.2","와줘2",main,2008-10-09 00:00:00,n,2748352,18103,0
18723,371,"Baby I Like You Like That","Baby I Like You Like That",main,2008-10-09 00:00:00,n,556845,2929,0
46377,1044,"Only Looking At You","그대만보며",main,2008-10-09 00:00:00,n,356958,445,0
1134,28,"With U","With U",main,2008-10-09 00:00:00,n,10876271,53576,0
43486,5332,"I Love You","사랑해",main,2008-10-11 00:00:00,n,347201,1845,0
49430,344,"Turn On The Radio","라디오를 켜봐요",main,2008-10-13 00:00:00,n,165134,527,0
3366,5,"10 out of 10","10 out of 10",alternate,2008-10-13 00:00:00,n,3838855,22828,0
34169,5,"10 out of 10","10점 만점에 10점",alternate,2008-10-13 00:00:00,n,218107,1275,0
11052,117,"Good Day","굿데이",main,2008-10-17 00:00:00,n,363836,1300,0
3422,114,"Left Heart","왼쪽가슴",main,2008-10-19 00:00:00,n,103543,419,0
75868,8668,"Never Ending Story","Never Ending Story",main,2008-10-21 00:00:00,n,25502,90,0
33751,262,"Te wo Tsunaide","Te wo Tsunaide",main,2008-10-22 00:00:00,n,410131,2898,0
15991,131,"Rush","러시",main,2008-10-25 00:00:00,n,1590717,5914,0
28299,1195,"Sorrow","애상",main,2008-10-27 00:00:00,n,11312996,31463,123
7417,207,"Mirotic","Mirotic",alternate,2008-11-07 00:00:00,n,2737737,26796,0
73399,8461,"A Sexy Man","섹시한 남자",main,2008-11-14 00:00:00,n,2294590,3846,0
61365,1390,"Hawaiian Couple","에뛰드 복숭아송 원곡",main,2008-11-22 00:00:00,n,152845,1825,0
74402,8546,"TV LOVE","TV러브",main,2008-12-01 00:00:00,n,30583,924,0
10283,219,"It\'s not love","미안한 마음",main,2008-12-10 00:00:00,n,528927,3977,0
937,219,"Tell me","텔 미",duplicate,2008-12-10 00:00:00,n,52149608,857004,0
15372,5,"10 out of 10","10점 만점에 10점",duplicate,2008-12-11 00:00:00,n,3088823,17495,0
3367,219,"Irony","아이러니",main,2008-12-11 00:00:00,n,9663190,74282,0
80309,219,"Take it!","가져가",duplicate,2008-12-11 00:00:00,n,444900,3367,0
10282,219,"This time","This time",main,2008-12-12 00:00:00,n,1724508,10880,0
6716,112,"Your House","니가 사는 그 집",main,2008-12-12 00:00:00,n,1555946,10972,0
6717,112,"Kiss","키스",main,2008-12-12 00:00:00,n,1396583,9437,0
934,219,"So Hot","쏘 핫",main,2008-12-12 00:00:00,n,28520338,520316,0
10182,5,"10 out of 10","10 out of 10",alternate,2008-12-13 00:00:00,n,355800,2234,0
425,219,"Nobody","노바디",main,2008-12-14 00:00:00,n,35308310,428476,0
60376,1263,"Hold Me Now","Hold Me Now",main,2008-12-14 00:00:00,n,33631,53,0
17473,185,"Ur Man","Ur Man",duplicate,2008-12-16 00:00:00,n,4077433,18266,0
32550,1085,"Today More Than Yesterday","어제보다 오늘 더",main,2008-12-27 00:00:00,n,2072641,11437,0
3360,37,"Closer","다가와서",duplicate,2008-12-31 00:00:00,n,102983,598,0
64488,7815,"Seoul, This City","서울이라는 도시",main,2008-12-31 00:00:00,n,17252,46,0
39400,5193,"Because I Love You","사랑하니까",main,2009-01-05 00:00:00,n,603472,1148,0
51795,6380,"Kiss Kiss","Kiss Kiss",main,2009-01-07 00:00:00,n,64480,514,0
17756,321,"Day by Day","Day by Day",main,2009-01-07 00:00:00,n,430401,1333,0
20914,262,"Yubikiri","약속",main,2009-01-09 00:00:00,n,68816,588,0
28382,715,"Drama","연극",main,2009-01-09 00:00:00,n,367016,741,0
61318,4357,"Sea","바다",main,2009-01-15 00:00:00,n,2340608,4155,0
3296,11,"Ah!","Ah!",main,2009-01-19 00:00:00,n,4798790,25000,0
37104,11,"Ah!","Ah!",duplicate,2009-01-19 00:00:00,n,2096803,5012,0
32553,534,"Circus","서커스",main,2009-02-01 00:00:00,n,1855612,6716,0
16042,210,"I Like You","니가 좋아",main,2009-02-03 00:00:00,n,308494,1059,0
36590,57,"Photo Album","사진첩",main,2009-02-05 00:00:00,n,39548,112,0
17356,172,"Love Like Oxygen","산소 같은 너",duplicate,2009-02-08 00:00:00,n,1639632,6963,0
53187,352,"Insomnia","불면증",main,2009-02-19 00:00:00,n,2385262,28615,111
7692,33,"Eien","Eien",main,2009-02-20 00:00:00,n,9663024,33079,0
9969,3,"This Song","이노래",main,2009-02-20 00:00:00,n,893208,11284,0
56266,3282,"My Dream","My Dream",main,2009-02-22 00:00:00,n,4239,16,0
3356,371,"Girls","Girls",main,2009-02-24 00:00:00,n,1662036,12491,0
9970,3,"What Should I Do","어떡하죠",main,2009-02-24 00:00:00,n,198092,1743,0
14471,189,"Marry U","Marry U",main,2009-02-25 00:00:00,n,202671,1836,0
14010,37,"My Style","마이 스타일",main,2009-02-25 00:00:00,n,674340,4328,2
35775,131,"LeeSSang Blues","리쌍부르쓰",main,2009-03-03 00:00:00,n,1810167,7531,0
11186,185,"Find","Find",main,2009-03-11 00:00:00,n,1529260,9813,0
18734,371,"Girls","Girls",duplicate,2009-03-14 00:00:00,n,511857,3701,0
9968,3,"Confession of a friend","친구의 고백",main,2009-03-20 00:00:00,n,1362731,9487,0
8573,57,"Map the Soul","Map the Soul",main,2009-03-27 00:00:00,n,715143,5058,0
16004,3,"Confession of a friend","친구의 고백",duplicate,2009-03-31 00:00:00,n,194149,2399,0
33747,262,"Touch","Touch",main,2009-04-05 00:00:00,n,275720,1590,0
16325,189,"Sorry, Sorry","쏘리 쏘리",duplicate,2009-04-07 00:00:00,n,3414993,3956,0
12371,11,"Diva","디바",main,2009-04-09 00:00:00,n,5002768,20698,0
78699,8926,"Yearning Heart","아쉬운 마음인걸",main,2009-04-09 00:00:00,n,18320870,100937,0
20915,262,"Houki Boshi","Houki Boshi",main,2009-04-13 00:00:00,n,24984,539,0
575,5,"Again & Again","어게인 앤 어게인",main,2009-04-16 00:00:00,n,36382206,225303,0
11176,185,"Dejavu","데자뷰",duplicate,2009-04-16 00:00:00,n,4643391,23579,0
29198,4356,"Maybe i love you","Maybe i love you",main,2009-04-18 00:00:00,n,27522,75,0
60802,7373,"Bitter sorrow","한",main,2009-04-20 00:00:00,n,304678,612,0
60803,7373,"To You","난 너에게",main,2009-04-21 00:00:00,n,169312,575,0
60804,7373,"Come Back","돌아와",main,2009-04-21 00:00:00,n,34246,133,0
29874,33,"I Did it For Love","I Did it For Love",main,2009-04-22 00:00:00,n,754242,8226,0
75414,7525,"J Style","J Style",main,2009-04-23 00:00:00,n,1298851,9346,0
52714,6506,"For Couples Who Just Met","시작되는 연인들을 위해",main,2009-04-25 00:00:00,n,368773,407,0
