stage_name , full_name                   , birthdate , group_name      , country    , second_country, birthplace
BoA        , Kwon Boa                    , 1986-11-05,                 , South Korea,               , Guri
Boa        , Kim Boah                    , 1987-01-14, KEEMBO          , South Korea,               , 
Boeun      , Park Boeun                  , 2008-02-11, CLASS:y         , South Korea,               , 
Bohyung    , Kim Bohyung                 , 1991-03-31, KEEMBO          , South Korea,               , 
Bom        , Park Bom                    , 1984-03-24, 2NE1            , South Korea,               , 
Bomi       , Yoon Bomi                   , 1993-08-13, Apink           , South Korea,               , Suwon
Bomin      , Kim Bomin                   , 2001-09-24, RedSquare       , South Korea,               , Gwangju
Bona       , Kim Jiyeon                  , 1995-08-19, WJSN            , South Korea,               , Daegu
Boni       , Choi Euijeong               , 1999-10-30, Dreamnote       , South Korea,               , 
Bora       , Yoon Bora                   , 1989-12-30, SISTAR          , South Korea,               , 
Bora       , Kim Bora                    , 1999-03-03, Cherry Bullet   , South Korea,               , 
Boram      , Jeon Boram                  , 1986-03-22,                 , South Korea,               , Seoul
Cao Lu     , Cao Lu                      , 1987-08-30, Fiestar         , China      ,               , Zhangjiajie
Carmen     , Nyoman Ayu Carmenita        , 2006-03-28, Hearts2Hearts   , Indonesia  ,               , 
Chaebin    , Choi Yoobin                 , 1999-07-28, NATURE          , South Korea,               , 
Chaeeun    , Yoon Chaeeun                , 2005-12-10, ADYA            , South Korea,               , Mokpo
Chaehyun   , Kim Chaehyun                , 1999-11-29, Bonus Baby      , South Korea,               , 
Chaehyun   , Kim Chaehyun                , 2002-04-26, Kep1er          , South Korea,               , 
Chaein     , Lee Chaeyoung               , 2002-12-05, Purple Kiss     , South Korea,               , 
Chaejeong  , Lee Chaejeong               , 1999-08-26, ALICE           , South Korea,               , 
Chaekyung  , Yoon Chaekyung              , 1996-07-07, APRIL           , South Korea,               , Incheon
Chaelin    , Lee Chaelin                 , 1999-10-20, FANATICS        , South Korea,               , 
Chaerin    , Park Chaerin                , 2002-03-13, Cherry Bullet   , South Korea,               , 
Chaerin    , Park Chaerin                , 2003-03-31, ICHILLIN'       , South Korea,               , 
Chaerin    , Lee Chaerin                 , 2007-07-07, KELT9b          , South Korea,               , 
Chaeryeong , Lee Chaeryeong              , 2001-06-05, ITZY            , South Korea,               , Yongin
Chaesol    , Maeng Chaesol               , 1998-07-14, Cignature       , South Korea,               , Yeosu
Chaewon    , Kim Chaewon                 , 1997-11-08, APRIL           , South Korea,               , Gongju
Chaewon    , Kim Chaewon                 , 2000-08-01, LE SSERAFIM     , South Korea,               , Seoul
Chaewon    , Lee Chaewon                 , 2000-03-18, Maka Maka       , South Korea,               , 
Chaewon    , Yoon Chaewon                , 2003-06-04, CLASS:y         , South Korea,               , 
ChaeY      , Song Chaeyeon               , 2003-01-06, CRAXY           , South Korea,               , 
Chaeyeon   , Jung Chaeyeon               , 1997-12-01, DIA             , South Korea,               , Suncheon
Chaeyeon   , Kim Chaeyeon                , 2004-12-04, tripleS         , South Korea,               , 
Chaeyeon   , Lee Chaeyeon                , 2000-01-11, IZ*ONE          , South Korea,               , Yongin
Chaeyoung  , Son Chaeyoung               , 1999-04-23, Twice           , South Korea,               , Seoul
Chaeyoung  , Lee Chaeyoung               , 2000-05-14, fromis_9        , South Korea,               , Pohang
Chahee     , Park Sooyoung               , 1996-03-24, MELODYDAY       , South Korea,               , 
Chanmi     , Kim Chanmi                  , 1996-06-19, AoA             , South Korea,               , Gumi
Chanty     , Maria Chantal Videla        , 2002-12-15, Lapillus        , Philippines, Argentina     , Manila
Cheng Xiao , Cheng Xiao                  , 1998-07-15,                 , China      ,               , Shenzhen
Cheongeum  , Jang Cheongeum              , 1996-06-19, Ho1iday         , South Korea,               , 
Chi.u      , Lee Jaeyi                   , 1998-08-16,                 , South Korea,               , 
Chiayi     , Li Chiayi                   , 2000-01-22, FANATICS        , Taiwan     ,               , 
Chiquita   , Riracha Phondechaphiphat    , 2009-02-17, BABYMONSTER     , Thailand   ,               , 
Chloe      , Yun Jiwon                   , 2001-01-06, Cignature       , South Korea,               , Seoul
Chloe Young, Chloe Duong                 , 2001-10-31, BADVILLAIN      , South Korea, Canada        , 
Choa       , Park Choa                   , 1990-03-06,                 , South Korea,               , Incheon
Choa       , Heo Minjin                  , 1990-07-12, Crayon Pop      , South Korea,               , Seoul
Choerry    , Choi Yerim                  , 2001-06-04, ARTMS           , South Korea,               , 
Chorong    , Park Chorong                , 1991-03-03, Apink           , South Korea,               , Chungwongoon
Chowon     , Han Chowon                  , 2002-09-16, LIGHTSUM        , South Korea,               , Seoul
Chowon     , Kim Chowon                  , 2005-08-18, ICHILLIN'       , South Korea,               , 
Choyeon    , Kim Choyeon                 , 2001-08-01, bugAboo         , South Korea,               , 
Chungha    , Kim Chungha                 , 1996-02-09,                 , South Korea,               , Dallas
Chuu       , Kim Jiwoo                   , 1999-10-20,                 , South Korea,               , Cheongju
CL         , Lee Chaerin                 , 1991-02-26, 2NE1            , South Korea,               , 
Cyan       , Lee Chaeeun                 , 2001-04-04, bugAboo         , South Korea,               , Sanbon
D.ana      , Cho Eunae                   , 1995-09-10, Sonamoo         , South Korea,               , Seoul
Dabi       , Park Jiwon                  , 2000-01-19, AREAL           , South Korea,               , 
Daeun      , Jung Daeun                  , 1994-06-03, 2EYES           , South Korea,               , Bucheon
Daewang Nim, Daewang Nim                 , 1996-04-08, Pink Fantasy    , South Korea,               , 
Dahye      , Song Dahye                  , 1993-06-12,                 , South Korea,               , 
Dahyun     , Kim Dahyun                  , 1998-05-28, Twice           , South Korea,               , Seongnam
Dahyun     , Jeong Dahyun                , 2005-04-29, Rocket Punch    , South Korea,               , 
Dahyun     , Seo Dahyun                  , 2003-01-08, tripleS         , South Korea,               , Busan
Dahyun     , Kim Dahyun                  ,           , Hearts2Hearts   , South Korea,               , 
Dain       , Song Jieun                  , 1990-06-25,                 , South Korea,               , 
Dain       , Jung Dain                   , 2004-12-15, HOT ISSUE       , South Korea,               , 
Daisy      , Yoo Jeongahn                , 1999-01-22,                 , South Korea,               , Seoul
Dajeong    , Kim Dajeong                 , 1995-08-08, Hashtag         , South Korea,               , Gwangju
Dajeong    , Jung Dajeong                , 2003-07-31, Pixy            , South Korea,               , 
Dakyung    , Jung Dakyung                , 2001-07-23, Hi-L            , South Korea,               , 
Dalyn      , Lee Sohyun                  , 1999-08-27, ANS             , South Korea,               , 
Damhee     , Park Damhee                 , 2000-06-21, ARTBEAT         , South Korea,               , 
Dami       , Lee Yoobin                  , 1997-03-07, Dreamcatcher    , South Korea,               , Seoul
Dami       , Hong Dayoung                , 2001-06-07, ANS             , South Korea,               , 
Damin      , Kang Damin                  , 2004-03-24, Queenz Eye      , South Korea,               , Seoul
Dan-a      , Park Seungyeon              , 1993-06-26, Matilda         , South Korea,               , 
Dana       , Jang Dana                   , 2003-12-25, HOT ISSUE       , South Korea,               , 
Danielle   , Mo Jihye                    , 2005-04-11, NewJeans        , South Korea, Australia     , Munsan
Dany       , Jeon Eunji                  , 1998-01-20, Ho1iday         , South Korea,               , 
Dara       , Park Sandara                , 1984-11-12, 2NE1            , South Korea,               , 
Daseul     , Yang Daseul                 , 2000-09-14, Maka Maka       , South Korea,               , 
Dasom      , Kim Dasom                   , 1993-05-06, SISTAR          , South Korea,               , 
Dasom      , Lee Dasom                   , 1993-11-13, 2EYES           , South Korea,               , Cheongju
Dawon      , Nam Dawon                   , 1997-03-16, WJSN            , South Korea,               , Seoul
Dawon      , Lee Dawon                   , 1996-12-02, ARIAZ           , South Korea,               , 
Daye       , Kim Hyunjung                , 1998-02-25, Berry Good      , South Korea,               , 
Dayeon     , Hwang Da Kyeon              , 1995-11-17, XUM             , South Korea,               , 
Dayeon     , Kim Dayeon                  , 2003-03-02, Kep1er          , South Korea,               , 
Dayoung    , Kim Dayoung                 , 1991-02-02, Blady           , South Korea,               , Jeonju
Dayoung    , Im Dayoung                  , 1999-05-14, WJSN            , South Korea,               , Jeju
Dayun      , Kim Dayun                   , 2000-11-20, Bonus Baby      , South Korea,               , 
Della      , Park Sehyun                 , 1995-09-03, Rockit Girl     , South Korea,               , 
Denise     , Kim Denise                  , 2001-01-11,                 , South Korea, USA           , 
Dia        , Kwak Minnyeong              , 1999-09-03, Maka Maka       , South Korea,               , 
Dia        , Choi Eunji                  , 2001-07-16, Pixy            , South Korea,               , 
Dita       , Dita Karang                 , 1996-12-25, SECRET NUMBER   , Indonesia  ,               , Yogyakarta
Do-A       , Choi Yuna                   , 1999-02-02, ALICE           , South Korea,               , 
Doa        , Im Youngseo                 , 2001-10-29, We;Na           , South Korea,               , 
Doah       , Kim Doah                    , 2003-12-04, FANATICS        , South Korea,               , 
Doeun      , Kim Doeun                   , 2007-12-24, YOUNG POSSE     , South Korea,               , Asan
Dohee      , Yoon Dohee                  , 1999-09-24,                 , South Korea,               , 
Dohee      , Min Dohee                   , 1994-09-25, Tiny-G          , South Korea,               , 
Dohee      , Kwon Dohee                  , 2002-08-01, Cignature       , South Korea,               , Seoul
Doi        , Kim Doi                     , 1994-04-12, FANATICS        , South Korea,               , 
Dosie      , Jang Eunseung               , 2000-02-11, Purple Kiss     , South Korea,               , 
Doyeon     , Kim Doyeon                  , 1999-12-04, Weki Meki       , South Korea,               , Incheon
Duna       , Kang Duna                   , 2005-04-28, CSR             , South Korea,               , Gangwon
E-Young    , Noh Yiyoung                 , 1992-08-16, After School    , South Korea,               , Chuncheon
E.Ji       , Choi Jiwon                  , 2000-11-08, ICHILLIN'       , South Korea,               , 
E.sha      , Kwon Yena                   , 1998-12-29, X:IN            , Australia  , South Korea   , 
E:U        , Park Jiwon                  , 1998-05-19, Everglow        , South Korea,               , 
EJ         , Kim Eunji                   , 1997-08-13, ALICE           , South Korea,               , 
Elisia     , Elisia Lyrisse Parmisano    , 2009-04-18, UNIS            , Philippines,               , 
Elkie      , Chong Ting Yan              , 1998-11-02,                 , Hong Kong  ,               , Hong Kong
Ella       , Kim Kyungjoo                , 1998-03-26,                 , South Korea,               , 
Ellin      , Kim Minyoung                , 1990-04-02, Crayon Pop      , South Korea,               , Daegu
Elly       , Jung Haerim                 , 1998-07-20, Weki Meki       , South Korea,               , 
Ellyn      , Bang Sunhee                 , 2002-10-19, Girlkind        , South Korea,               , 
Elva       , Lee Yonghwa                 , 2003-05-05, ILY:1           , South Korea,               , 
Emma       , Song Hyemin                 , 2000-04-26, BADVILLAIN      , South Korea,               , Seoul
Eseo       , Noh Hyunjung                , 1996-03-04, LUNARSOLAR      , South Korea,               , 
Euaerin    , Lee Hyemin                  , 1988-05-03,                 , South Korea,               , Seoul
Euijeong   , Yeon Euijeong               , 2001-07-21, KELT9b          , South Korea,               , 
Euijin     , Hong Euijin                 , 1996-10-08, Sonamoo         , South Korea,               , Gwangju
Eun        , Choi Eunmi                  , 1990-05-14, Two X           , South Korea,               , 
Euna       ,                             , 2003-05-25, We;Na           , South Korea,               , 
EunB       , Shin Eunbi                  , 2000-09-17, Maka Maka       , South Korea,               , 
EunB       , Byun Eunbi                  , 2000-11-23, PRECIOUS        , South Korea,               , Busan
Eunbi      , Kwon Eunbi                  , 1995-09-27, IZ*ONE          , South Korea,               , Seoul
Eunbin     , Kwon Eunbin                 , 2000-01-06, CLC             , South Korea,               , Seoul
Eunchae    , Kwon Chaewon                , 1999-05-26, DIA             , South Korea,               , 
Eunchae    , Son Eunchae                 , 1999-10-06, bugAboo         , South Korea,               , Pohang
Eunchae    , Hong Eunchae                , 2006-11-10, LE SSERAFIM     , South Korea,               , 
Eunha      , Jung Eunbi                  , 1997-05-30, VIVIZ           , South Korea,               , Seoul
Eunice     , Heo Sooyeon                 , 1991-09-02, DIA             , South Korea,               , Busan
Eunji      , Jung Eunji                  , 1993-08-18, Apink           , South Korea,               , Busan
Eunji      , Hong Eunji                  , 1992-07-19, Brave Girls     , South Korea,               , Seoul
Eunjin     , Ahn Eunjin                  , 1997-08-31,                 , South Korea,               , Mokpo
Eunjin     , Ma Eunjin                   , 1997-05-23, Playback        , South Korea,               , Wonju
Eunjin     , Moon Eunjin                 , 1998-11-05, Highteen        , South Korea,               , 
Eunjo      , Park Eunjo                  , 2002-03-07, Dreamnote       , South Korea,               , 
Eunjung    , Ham Eunjung                 , 1988-12-12, T-ara           , South Korea,               , Seoul
Eunseo     , Son Juyeon                  , 1998-05-27, WJSN            , South Korea,               , Incheon
Eunwoo     , Jeong Eunwoo                , 1998-07-01, Hinapia         , South Korea,               , 
Eunyoung   , Joo Eunyoung                , 1992-06-12, Two X           , South Korea,               , 
Exy        , Chu Sojung                  , 1995-11-06, WJSN            , South Korea,               , Busan
Eyedi      , Nam Yujin                   , 1995-12-08,                 , South Korea,               , 
Fatou      , Fatou Samba                 , 1995-03-23, Blackswan       , Belgium    , Senegal       , Yoff
Fei        , Wang FeiFei                 , 1987-04-27, miss A          , China      ,               , Haikou
G.NA       , Gina Jane Choi              , 1987-09-13,                 , Canada     , South Korea   , Edmonton
Gabi       , Gabriela Strassburger Dalcin, 2002-11-07, Blackswan       , Brazil     , Germany       , Santa Catarina
Gabin      , Kim Gabin                   , 1989-09-18, Blady           , South Korea,               , Busan
Gaeul      , Park Gaeul                  , 1999-05-08, Favorite        , South Korea,               , Seoul
Gaeul      , Kim Gaeul                   , 2002-09-24, IVE             , South Korea,               , Incheon
Gaeun      , Cho Kaeun                   , 1992-07-28,                 , South Korea,               , Changwon
Gaeun      , Oh Gaeun                    , 2005-11-08, Madein          , South Korea,               , 
Gaeun      , Lee Gaeun                   , 2000-07-18, ARTBEAT         , South Korea,               , 
Gaga       , Lee Soobin                  , 1994-11-10, Gate9           , South Korea,               , 
Gaga       , Li Jia Jia                  , 1999-09-01,                 , China      ,               , 
Gahyeon    , Lee Gahyeon                 , 1999-02-03, Dreamcatcher    , South Korea,               , Seongnam
Gain       , Son Gain                    , 1987-09-20, Brown Eyed Girls, South Korea,               , 
Gaon       , Beom Gaon                   , 2001-03-09, Bonus Baby      , South Korea,               , 
Garam      , Kim Garam                   , 2005-11-16,                 , South Korea,               , 
Gayoon     , Heo Gayoon                  , 1990-05-18, 4minute         , South Korea,               , Seoul
Gayoung    , Kim Gayoung                 , 1991-12-02, Stellar         , South Korea,               , Seoul
Gehlee     , Gehlee Dangca               , 2007-08-19, UNIS            , Philippines,               , Las Pinas
Genie      , Cho Heejin                  , 2002-03-19, TRACER          , South Korea,               , 
Geumhee    , Han Geumhee                 , 2005-03-04, CSR             , South Korea,               , Incheon
Geummi     , Baek Boram                  , 1988-06-18, Crayon Pop      , South Korea,               , Seoul
Giru       , Park Giru                   , 1991-08-14, Blady           , South Korea,               , Incheon
Giselle    , Uchinaga Aeri               , 2000-10-30, aespa           , Japan      ,               , 
Goeun      , Na Goeun                    , 1999-09-03, Purple Kiss     , South Korea,               , 
Gowon      , Park Chaewon                , 2000-11-19, Loossemble      , South Korea,               , 
Gowoon     , Moon Yujeong                , 1998-12-18, Berry Good      , South Korea,               , 
Gracie     , Kim Gaeun                   , 1996-10-28, H.U.B           , South Korea,               , 
Gyuri      , Park Gyuri                  , 1988-05-21, KARA            , South Korea,               , Seoul
Gyuri      , Jang Gyuri                  , 1997-12-27,                 , South Korea,               , Seoul
Habin      , Yoo Habin                   , 2002-03-10,                 , South Korea,               , 
Haebin     , Han Haebin                  , 1995-08-16, Gugudan         , South Korea,               , 
Haein      , Yeom Haein                  , 1995-05-19, LABOUM          , South Korea,               , Ojeonggu
Haena      , Lee Haena                   , 1991-06-02, Matilda         , South Korea,               , 
Haena      , Jeon Eunbi                  , 2002-02-19, ANS             , South Korea,               , 
Haeri      , Lee Haeri                   , 1985-02-14, Davichi         , South Korea,               , Seoul
Haeri      , Jung Haeri                  , 1997-01-14, P.O.P           , South Korea,               , Seoul
Haerin     , Kang Haerin                 , 2006-05-15, NewJeans        , South Korea,               , Gimcheon
Haeryeong  , Na Haeryeong                , 1994-11-11, BESTie          , South Korea,               , 
Haeun      , Yoon Haeun                  , 1999-03-12, 3YE             , South Korea,               , 
Haeun      , Lim Haeun                   , 2008-11-02, Lapillus        , South Korea,               , 
Haeun      , Lee Haeun                   , 2002-06-25, ARTBEAT         , South Korea,               , 
Haewon     , Oh Haewon                   , 2003-02-25, NMIXX           , South Korea,               , 
Haeyeon    , Lee Taeyeon                 , 1994-01-11, Gate9           , South Korea,               , 
Haeyoon    , Park Haeyoon                , 1996-01-10, Cherry Bullet   , South Korea,               , 
Hajeong    , Lee Hajeong                 , 1997-09-23,                 , South Korea,               , 
Han Hyeri  , Han Hyeri                   , 1997-08-24, I.B.I           , South Korea,               , Gwangmyeong
Han Leeseul, Han Jiyoon                  , 2000-02-12, Rockit Girl     , South Korea,               , 
Hana       , Shin Bora                   , 1993-04-30, Gugudan         , South Korea,               , 
Hana       , Jung Hana                   , 1990-02-02, SECRET          , South Korea,               , Uljeongbu
Hana       , Hayase Hana                 , 2000-02-27, ILY:1           , Japan      ,               , 
Hanbyeol   , Ahn Hanbyeol                , 2003-10-13,                 , South Korea,               , 
Hanbyul    , Kyung Hanbyul               , 2005-07-01, PRECIOUS        , South Korea,               , Seoul
Handong    , Han Dong                    , 1996-03-26, Dreamcatcher    , China      ,               , Wuhan
Haneul     , Choi Haneul                 , 2000-11-28, Saturday        , South Korea,               , 
Haneul     , Won Haneul                  , 2005-05-25, KISS OF LIFE    , South Korea,               , Suwon
Hani       , Ahn Hee-yeon                , 1992-05-01, EXID            , South Korea,               , Seoul
Hanna      , Shin Jiyeon                 , 1994-02-19, MIXX            , South Korea,               , 
Hannah     , Bae Hyunyoung               , 1999-10-23, Queenz Eye      , South Korea,               , Seongnam
Hannah     , Kang Minkyung               , 2003-01-04, X:IN            , South Korea,               , 
Hanni      , Pham Ngoc Han               , 2004-10-06, NewJeans        , Vietnam    ,               , Melbourne
Hanwoom    , Byun Hanwoom                , 2001-06-05, PRECIOUS        , South Korea,               , Seoul
Haram      , Kim Haram                   , 2001-01-13, Billlie         , South Korea,               , 
Haram      , Shin Haram                  , 2007-10-17, BABYMONSTER     , South Korea,               , 
Haram      , Yoo Haram                   , 2007-04-12, Hearts2Hearts   , South Korea,               , 
Hara†      , Koo Hara                    , 1991-01-13, KARA            , South Korea,               , Gwangju
Hari       ,                             , 2005-04-08, Girls' World    , Japan      ,               , Kagoshima
Harin      ,                             , 1995-11-21, Lusty           , South Korea,               , Seoul
Harin      , Park Guenhye                , 2000-05-26, Pink Fantasy    , South Korea,               , 
Harin      , Seo Harin                   , 2000-12-07, BOTOPASS        , South Korea,               , 
Haru       , Han Sangsook                , 1994-07-06, Gate9           , South Korea,               , Bucheon
Haru       , Abe Haruno                  , 2000-02-21, NATURE          , Japan      ,               , 
Haru       , Lee Yoojeong                , 1997-02-26, Ho1iday         , South Korea,               , 
Haruna     , Osato Haruna                , 2006-01-30, Billlie         , Japan      ,               , 
Haseul     , Jo Haseul                   , 1997-08-18, ARTMS           , South Korea,               , Ansan
Hayeon     , Jeong Hayeon                , 2007-08-01, tripleS         , South Korea,               , 
Hayoon     , Jung Hayoon                 , 1998-11-21, Bonus Baby      , South Korea,               , 
Hayoung    , Oh Hayoung                  , 1996-07-19, Apink           , South Korea,               , Seoul
Hayoung    , Lee Hayoung                 , 1993-08-03, Playback        , South Korea,               , 
Hayoung    , Song Hayoung                , 1997-09-29, fromis_9        , South Korea,               , Gwangju
Hayun      , Lee Hayun                   , 1994-08-29,                 , South Korea,               , Changwon
Hayun      , Choi Hayun                  , 2004-01-16, Hi-L            , South Korea,               , Seoul
Hayun      , Ha Seyun                    , 2003-11-20, PRIMROSE        , South Korea,               , 
Heejin     , Jeon Heejin                 , 2000-10-19, ARTMS           , South Korea,               , Seongnam
Heejin     , Song Heejin                 , 1995-08-19, Good Day        , South Korea,               , Seoul
Heejoo     , Jeon Heejoo                 , 1996-11-30, Ho1iday         , South Korea,               , 
Heeo       , Gwak Heeoh                  , 1994-05-02, 4TEN            , South Korea,               , 
Heesu      , Kim Heesu                   , 1998-03-24, Maka Maka       , South Korea,               , 
Heesun     , Park Heesun                 , 2005-01-25, Pink Fantasy    , South Korea,               , 
Heeyu      , Choi Heejae                 , 1995-06-30, MIXX            , South Korea,               , 
Henny      , Kang Gayoung                , 1994-12-01,                 , South Korea,               , 
High.D     , Kim Dohee                   , 1996-12-21, Sonamoo         , South Korea,               , Suwon
Hikaru     , Ezaki Hikaru                , 2004-03-12, Kep1er          , Japan      ,               , 
Hina       , Nagai Hina                  , 2003-04-07, LIGHTSUM        , Japan      ,               , Kanagawa
Hitomi     , Honda Hitomi                , 2001-10-06, IZ*ONE          , Japan      ,               , Toghichi
Hu'e       , Kim Inhye                   , 2003-11-20, BADVILLAIN      , South Korea,               , 
Huihyeon   , Ki Huihyeon                 , 1995-06-16, DIA             , South Korea,               , Namwon
Huiyeon    , Oh Huiyeon                  , 2005-08-01,                 , South Korea,               , 
Hwasa      , Ahn Hyejin                  , 1995-07-23, Mamamoo         , South Korea,               , Jeonju
Hwiseo     , Jo Hwihyeon                 , 2002-07-31, H1-KEY          , South Korea,               , 
Hyangsuk   , Lee Hyangsuk                , 1991-04-24, 2EYES           , South Korea,               , Seoul
Hyebin     , Lee Hyebin                  , 1996-01-12, MOMOLAND        , South Korea,               , Andong
Hyebin     , Im Hyebin                   , 1999-11-10, Highteen        , South Korea,               , 
Hyebin     , Kim Hyebin                  , 1997-03-29, AREAL           , South Korea,               , 
Hyein      , Lee Hyein                   , 2008-04-21, NewJeans        , South Korea,               , Incheon
Hyejeong   , Shin Hyejeong               , 1993-08-10, AoA             , South Korea,               , Seoul
Hyeji      , Jeong Hyeji                 , 1992-04-02, 4TEN            , South Korea,               , Seoul
Hyejin     , Baek Hyejin                 , 1996-11-21, 4TEN            , South Korea,               , Sacheon
Hyejin     , Kang Hyejin                 , 2000-07-13, CRAXY           , South Korea,               , 
Hyejoo     , Park Hyunjoo                , 1999-01-12, Highteen        , South Korea,               , 
Hyeju      , Son Hyeju                   , 2001-11-13, Loossemble      , South Korea,               , 
Hyeju      , Hong Hyeju                  , 2003-12-09, CLASS:y         , South Korea,               , Seoul
Hyemi      , Pyo Hyemi                   , 1991-04-03, 9Muses          , South Korea,               , Gwangju
Hyemi      , Kim Hyemi                   , 1990-08-10, Fiestar         , South Korea,               , Seoul
Hyeoeun    , Lee Hyoeun                  , 1993-03-16, Stellar         , South Korea,               , Seoul
Hyeongshin , Kim Hyungshin               , 2002-05-03, HOT ISSUE       , South Korea,               , 
Hyeran     , Noh Hyeran                  , 1993-04-09,                 , South Korea,               , 
Hyeri      , Lee Hyeri                   , 1994-06-09, Girl's Day      , South Korea,               , Gwangju
Hyerim     , Woo Hyerim                  , 1992-09-01, Wonder Girls    , South Korea,               , Seoul
Hyerin     , Seo Hyerin                  , 1993-08-23, EXID            , South Korea,               , Gwangju
Hyerin     , Kim Hyerin                  , 1993-06-13, 2EYES           , South Korea,               , Seoul
Hyerin     , Jeong Hyerin                , 2007-04-12, tripleS         , South Korea,               , 
Hyewon     , Kang Hyewon                 , 1999-07-05, IZ*ONE          , South Korea,               , Yangsan
Hyeyeon    , Kang Hyeyeon                , 1990-12-08, BESTie          , South Korea,               , 
Hyeyeon    , Cho Hyeyeon                 , 2000-08-05,                 , South Korea,               , 
Hyogyeong  , Jang Hyogyeong              , 1999-11-15, ARIAZ           , South Korea,               , 
Hyojung    , Choi Hyojung                , 1994-07-28, Oh My Girl      , South Korea,               , Yangyang
Hyomin     , Park Sunyoung               , 1989-05-30, T-ara           , South Korea,               , Busan
Hyori      , Inn Hyori                   , 2000-06-02, mimiirose       , South Korea,               , 
Hyorin     , Kim Hyojung                 , 1990-12-11, SISTAR          , South Korea,               , 
Hyosun     , Lim Hyosun                  , 1998-07-10, H.U.B           , South Korea,               , 
Hyosung    , Jun Hyoseong                , 1989-10-13, SECRET          , South Korea,               , Cheongju
Hyoyeon    , Kim Hyoyeon                 , 1989-09-22, SNSD            , South Korea,               , Incheon
