stage_name  , full_name                  , birthdate  , group_name     , country    , second_country      , birthplace
Byungchan   , Choi Byungchan             , 1997-11-12 , VICTON         , South Korea,                     , 
Byunghoon   , Choi Byunghoon             , 2000-04-26 , CMDM           , South Korea,                     , 
C.A.P       , Bang Minsoo                , 1992-11-04 , Teen Top       , South Korea,                     , Seongnam
Casper      , Chu Xiaoxiang              , 1991-03-20 , CROSS GENE     , China      ,                     , Shanghai
Castle J    , Son Sangjoon               , 1999-05-31 , MCND           , South Korea,                     , 
Cha Hoon    , Cha Hoon                   , 1994-07-12 , N.Flying       , South Korea,                     , Seoul
Chaejin     , Chae Jinseok               , 1995-12-26 , MYNAME         , South Korea,                     , Seoul
Chael       , Lim Junyeop                , 2001-12-07 , LUN8           , South Korea,                     , 
Chan        , Jung Chanwoo               , 1998-01-26 , iKON           , South Korea,                     , Yongin
Chan        , Kang Yoochan               , 1997-12-31 , A.C.E          , South Korea,                     , Jeju
Chan        , Jo Chanhyuk                , 1999-12-08 , TOO            , South Korea,                     , 
Changbin    , Seo Changbin               , 1999-08-11 , Stray Kids     , South Korea,                     , Yongin
Changbum    , Woo Changbum               , 1993-10-07 ,                , South Korea,                     , Sokcho
Changgyu    , Song Changgyu              , 1993-07-06 , UNVS           , South Korea,                     , 
Changjo     , Choi Jonghyun              , 1995-11-16 , Teen Top       , South Korea,                     , Chuncheon
Changsub    , Lee Changsub               , 1991-02-26 , BtoB           , South Korea,                     , Suwon
Changsun    , Lee Changsun               , 1996-03-17 , 24K            , South Korea,                     , 
Changuk     , Joo Changuk                , 2001-07-25 , DRIPPIN        , South Korea,                     , 
Chani       , Kang Chanhee               , 2000-01-17 , SF9            , South Korea,                     , 
Chansung    , Hwang Chansung             , 1990-02-11 , 2:00 PM        , South Korea,                     , Seoul
Chanwon     , An Chanwon                 , 2008-03-21 , The Wind       , South Korea,                     , 
Chanwook    , Yang Chanwook              , 2002-02-25 , WEUS           , South Korea,                     , 
Chanyeol    , Park Chanyeol              , 1992-11-27 , EXO            , South Korea,                     , Seoul
Chanyong    , Kim Chanyong               , 1993-04-29 , FAVE1          , South Korea,                     , Suwon
Chanyoung   , Kim Chanyoung              , 2000-11-20 , D-CRUNCH       , South Korea,                     , 
Chanyoung   , Jung Chanyoung             , 2004-01-31 , HAWW           , South Korea,                     , Incheon
Chen        , Kim Jongdae                , 1992-09-21 , EXO            , South Korea,                     , Silheung
Chenle      , Zhong Chenle               , 2001-11-22 , NCT            , China      ,                     , Shanghai
Chihoon     , Choi Chihoon               , 1999-04-27 , TOO            , South Korea,                     , 
Chiwoo      , Guk Seungjun               , 2002-09-02 , Kingdom        , South Korea,                     , 
Choi In     , Choi In                    , 1996-02-11 , E'LAST         , South Korea,                     , 
Choi Jiann  , Choi Jaewoo                , 1997-09-30 , Newkidd        , South Korea,                     , 
Chris       , Han Chris                  , 2002-11-19 , BLITZERS       , South Korea,                     , 
Chunji      , Lee Chanhee                , 1993-10-05 , Teen Top       , South Korea,                     , Seongnam
CNU         , Shin Dongwoo               , 1991-06-16 , B1A4           , South Korea,                     , Seoul
Cory        , Hong Joohyung              , 1990-11-25 , 24K            , South Korea, USA                 , Daegu
Cya         , Lee Giwook                 , 2000-01-24 , Onewe          , South Korea,                     , 
D.O.        , Do Kyungsoo                , 1993-01-12 , EXO            , South Korea,                     , Gyeonggi
D1          , Jang Dongil                , 1998-02-15 , DKB            , South Korea,                     , 
Daehwi      , Lee Daehwi                 , 2001-01-29 , AB6IX          , South Korea,                     , Seoul
Daehyeon    , Jang Daehyeon              , 1997-02-11 , WEi            , South Korea,                     , 
Daehyun     , Jung Daehyun               , 1993-06-28 , B.A.P          , South Korea,                     , Busan
Daeil       , Kim Daeil                  , 1992-05-10 ,                , South Korea,                     , Busan
Daesung     , Daesung                    , 1989-04-26 , BIGBANG        , South Korea,                     , Incheon
Daeyeol     , Lee Daeyeol                , 1993-02-11 , Golden Child   , South Korea,                     , Yongin
Damon       , Hu Boohan                  , 1996-07-02 , VARSITY        , China      ,                     , 
Daniel      , Kang Daniel                , 1996-12-10 , Wanna One      , South Korea,                     , Busan
Dann        , Jung Seungbo               , 1997-11-01 , Kingdom        , South Korea,                     , Ilsan
Daon        , Ahn Seonil                 , 2000-12-10 , DUSTIN         , South Korea,                     , 
Davin       , Kim Davin                  , 2002-05-30 , XODIAC         , South Korea,                     , Seoul
Dawon       , Lee Sanghyuk               , 1995-07-24 , SF9            , South Korea,                     , 
Dawon       , Cho Dawon                  , 2000-05-12 , VARSITY        , South Korea,                     , 
Dey         , Kim Sehyun                 , 2003-06-11 , YOUNITE        , South Korea,                     , 
Dino        , Lee Chan                   , 1999-02-11 , Seventeen      , South Korea,                     , Iksan
DK          , Lee Seongmin               , 1997-02-18 , Seventeen      , South Korea,                     , Yongin
DK          , Kim Donghyuk               , 1997-01-03 , iKON           , South Korea,                     , 
DK          , Kim Dokyun                 , 1998-02-16 , BLANK2Y        , South Korea,                     , 
Doha        , Na Gyumin                  , 2004-03-07 , BAE173         , South Korea,                     , 
Doha        , Park Doha                  , 1992-03-27 , XEED           , South Korea,                     , Seoul
Dohoon      , Kim Dohoon                 , 2005-01-30 , TWS            , South Korea,                     , 
Dohwan      , Gil Dohwan                 , 2003-08-26 , Ciipher        , South Korea,                     , 
Dohyon      , Nam Dohyon                 , 2004-11-10 , BAE173         , South Korea,                     , 
Dohyuk      , Kim Dohyuk                 , 1998-01-16 , 14U            , South Korea,                     , 
Dohyun      , Park Dohyun                , 2003-10-23 , LUN8           , South Korea,                     , 
Dojin       , Jeon Yongtae               , 1997-03-07 , ENOi           , South Korea,                     , 
Dokyun      , Na Dokyun                  , 1991-02-11 , HISTORY        , South Korea,                     , Daejeon
Donggeon    , Song Donggeon              , 1999-07-15 , TOO            , South Korea,                     , 
Donghae     , Lee Donghae                , 1986-10-15 , Super Junior   , South Korea,                     , Mokpo
Donghan     , Kim Donghan                , 1998-07-03 , WEi            , South Korea,                     , Daegu
Dongheon    , Lee Dongheon               , 1995-08-04 , Verivery       , South Korea,                     , 
Donghun     , Lee Donghun                , 1993-05-15 , A.C.E          , South Korea,                     , Suncheon
Donghyuk    , Park Donghyuk              , 1999-12-18 , BLANK2Y        , South Korea,                     , 
Donghyun    , Kim Donghyun               , 1989-02-12 , Boyfriend      , South Korea,                     , Seoul
Donghyun    , Kim Donghyun               , 1999-02-23 , Golden Child   , South Korea,                     , 
Donghyun    , Kim Donghyun               , 1998-09-17 , AB6IX          , South Korea,                     , Daejeon
Dongjun     , Kim Dongjun                , 1992-02-11 , ZE:A           , South Korea,                     , Busan
Dongjun     , Hwang Dongjun              , 1999-09-07 ,                , South Korea,                     , 
Dongkyu     , Moon Dongkyu               , 1992-11-16 , Spectrum       , South Korea,                     , 
Dongmyeong  , Son Dongmyeong             , 2000-01-20 , Onewe          , South Korea,                     , 
Dongpyo     , Son Dongpyo                , 2002-09-09 , Mirae          , South Korea,                     , 
Dongwan     , Kim Dongwan                , 1979-11-21 , Shinhwa        , South Korea,                     , Pohang
Dongwon     , Lee Dongwon                , 1994-01-01 , KNK            , South Korea,                     , 
Dongwoo     , Jang Dongwoo               , 1990-11-22 , Infinite       , South Korea,                     , Guri
Dongwoon    , Son Dongwoon               , 1991-06-06 , Highlight      , South Korea,                     , Busan
Dongyeon    , Justin Lajo                , 2003-09-26 , POW            , Philippines, South Korea         , Sejong
Dongyun     , Kim Dongyun                , 2002-02-18 , DRIPPIN        , South Korea,                     , 
Doojoon     , Yoon Doojoon               , 1989-07-04 , Highlight      , South Korea,                     , Goyang
Doryun      , Kim Doryun                 , 2000-05-01 , AIMERS         , South Korea,                     , 
Douhyun     , Yoo Douhyun                , 2000-12-25 , Mirae          , South Korea,                     , 
Dowoon      , Yoon Dowoon                , 1995-08-25 , DAY6           , South Korea,                     , 
Doyoung     , Kim Dongyoung              , 1996-02-01 , NCT            , South Korea,                     , Guri
Doyoung     , Kim Doyoung                , 2003-12-04 , Treasure       , South Korea,                     , 
DY          , Jeon Doyum                 , 2002-02-21 , JUST B         , South Korea,                     , Daejeon
Dylan       , Park Yeonjae               , 2002-07-26 , D-CRUNCH       , South Korea,                     , 
E'Dawn      , Kim Hyojong                , 1994-06-01 ,                , South Korea,                     , 
E-Chan      , Lee Changmin               , 1997-02-19 , DKB            , South Korea,                     , 
E-tion      , Lee Changyoon              , 1994-12-24 , ONF            , South Korea,                     , Jeonju
E.sol       , Jeon Jaehyuk               , 1992-09-17 , 14U            , South Korea,                     , 
Eden        , Jae Won                    , 1998-03-27 , NINE.i         , South Korea,                     , 
Eli         , Ellison Kim                , 1991-03-13 , U-KISS         , USA        , South Korea         , Los Angeles
Eric        , Son Youngjae               , 2000-12-22 , The Boyz       , South Korea,                     , 
Eric        , Moon Junghyuk              , 1979-02-16 , Shinhwa        , South Korea,                     , Seoul
Eson        , Kim Jungmin                , 1996-12-28 , We In The Zone , South Korea, USA                 , Honolulu
Euijin      , Lee Euijin                 , 1990-02-15 , Bigflo         , South Korea,                     , Seoul
Eunchan     , Choi Byeongseop            , 2001-02-27 , TEMPEST        , South Korea,                     , 
Eunho       , Shin Donggeun              , 1992-09-10 , UNVS           , South Korea,                     , 
Eunho       , Myung Eunho                , 2001-03-25 , YOUNITE        , South Korea,                     , 
Eunhyuk     , Lee Hyukjae                , 1986-04-04 , Super Junior   , South Korea,                     , Ilsan
Eunil       , Kim Eunil                  , 2003-11-21 , TRENDZ         , South Korea,                     , 
Eunjae      , Kwak Eunjae                , 1996-05-02 , 14U            , South Korea,                     , 
Eunjun      , Choi Eunjun                , 1999-08-06 , AIMERS         , South Korea,                     , 
Eunki       , Hong Eunki                 , 1997-09-29 ,                , South Korea,                     , 
Eunkwang    , Seo Eunkwang               , 1990-11-22 , BtoB           , South Korea,                     , Yongin
Eunsang     , Lee Eunsang                , 2002-10-26 , YOUNITE        , South Korea,                     , 
Eunseok     , Song Eunseok               , 2001-03-19 , RIIZE          , South Korea,                     , 
Eunseop     , Kim Eunseop                , 2006-06-18 , LUN8           , South Korea,                     , 
Eunsung     , Lee Eunsung                , 2000-09-07 , TheEastLight   , South Korea,                     , 
Eunwoo      , Cha Eunwoo                 , 1997-03-30 , ASTRO          , South Korea,                     , Gunpo
Felix       , Lee Youngbok               , 2000-09-15 , Stray Kids     , South Korea,                     , Sydney
G-Dragon    , Kwon Jiyong                , 1988-08-18 , BIGBANG        , South Korea,                     , Seoul
G.O         , Jung Byunghee              , 1987-11-06 , MBLAQ          , South Korea,                     , Changwon
Gabin       , Yoo Seunghyun              , 2001-09-11 , JWiiver        , South Korea,                     , Busan
Gaon        , Kwak Jiseok                , 2002-01-14 , Xdinary Heroes , South Korea,                     , Uijeongbu
Geonu       , Lee Geonwoo                , 2001-02-02 , JUST B         , South Korea,                     , 
Gihwan      , Kim Gihwan                 , 1993-11-24 , SIGNAL         , South Korea,                     , 
Gijung      , Kim Gijung                 , 2001-01-24 , IM             , South Korea,                     , 
Gikwang     , Lee Gikwang                , 1990-03-30 , Highlight      , South Korea,                     , Gwangju
Giseok      , Jun Giseok                 , 1997-05-02 , IM             , South Korea,                     , 
GK          , Kim Kwanghyun              , 1998-09-29 , DKB            , South Korea,                     , 
Go_U        , Jang Junho                 , 2001-06-15 , BLITZERS       , South Korea,                     , 
Gohn        , Kim Dongsung               , 1992-08-01 ,                , South Korea,                     , Seoul
Gohyeon     , Go Hyeon                   , 1994-10-01 , 14U            , South Korea,                     , 
Gon         , Kim Seongjung              , 1998-11-13 , ARGON          , South Korea,                     , 
Gon         , Lee Wonseo                 , 1995-08-07 , VANNER         , South Korea,                     , 
Gongchan    , Gong Chansik               , 1993-08-14 , B1A4           , South Korea,                     , Suncheon
Gun         , Kwak Gun                   , 2001-09-29 , 14U            , South Korea,                     , 
Gunil       , Go Gunil                   , 1998-07-24 , Xdinary Heroes , South Korea,                     , Yongin
Gunmin      , Lee Gunmin                 , 1994-10-03 , B.I.G          , South Korea,                     , Gangwon
Gunwoo      , Lee Gunwoo                 , 1989-01-30 , MYNAME         , South Korea,                     , Daejeon
Gunwoo      , Kim Gunwoo                 , 2002-05-28 , T1419          , South Korea,                     , 
Gunwook     , Park Gunwook               , 2005-10-01 , ZEROBASEONE    , South Korea,                     , 
Gyehyeon    , Jo Gyehyeon                , 1999-05-14 , Verivery       , South Korea,                     , 
Gyeongtae   , Kwon Gyeongtae             , 2000-07-23 , 14U            , South Korea,                     , 
Gyujin      , Han Gyujin                 , 1997-11-21 , UP10TION       , South Korea,                     , Icheon
Gyumin      , Kim Gyumin                 , 2000-12-12 , XODIAC         , South Korea,                     , Yeosu
Gyurae      , Kim Gyurae                 , 2009-02-28 , FANTASY BOYS   , South Korea,                     , 
Gyuvin      , Kim Gyuvin                 , 2004-08-30 , ZEROBASEONE    , South Korea,                     , Seoul
Haechan     , Lee Donghyuk               , 2000-06-06 , NCT            , South Korea,                     , 
Haemin      , Jung Haemin                , 2004-03-16 , 8TURN          , South Korea,                     , Cheonan
Hakmin      , Lee Hakmin                 , 2000-09-20 , TRCNG          , South Korea,                     , 
Hamin       , Kim Kangmin                , 2001-11-13 , BXB            , South Korea,                     , Seoul
Hamin       , Jo Hamin                   , 1997-10-24 , ENOi           , South Korea,                     , 
Han         , Han Jisung                 , 2000-09-14 , Stray Kids     , South Korea,                     , Incheon
Han Geng    , Han Geng                   , 1984-02-09 ,                , China      ,                     , Mudanjiang
Hanbin      , Ngo Ngoc Hung              , 1998-01-19 , TEMPEST        , Vietnam    ,                     , 
Hanbin      , Sung Hanbin                , 2001-06-13 , ZEROBASEONE    , South Korea,                     , Cheonan
Hanbin      , Choi Hanbin                , 2007-07-25 , The Wind       , South Korea,                     , 
Hanbin      , Park Hanbin                , 2002-03-01 , EVNNE          , South Korea,                     , Iksan
Hanbin      , Lee Hanbin                 , 2001-11-20 , FANTASY BOYS   , South Korea,                     , 
Haneul      , Lee Haneul                 , 1996-06-03 , ARGON          , South Korea,                     , 
Hangyeom    , Song Hangyeom              , 1996-07-17 , OMEGA X        , South Korea,                     , 
Hangyul     , Lee Hangyul                , 1999-12-07 , BAE173         , South Korea,                     , 
Hanjin      , Han Zhen                   , 2006-01-05 , TWS            , China      ,                     , 
Hankook     , Cho Hankook                , 2002-04-03 , TRENDZ         , South Korea,                     , Seoul
Hanse       , Do Hanse                   , 1997-09-25 , VICTON         , South Korea,                     , 
Hansol      , Kim Hansol                 , 1993-06-15 ,                , South Korea,                     , Busan
Harin       , Ju Harin                   , 1998-03-29 , Onewe          , South Korea,                     , 
Harry-June  , Han Harry-June             , 2004-01-01 , DKB            , South Korea,                     , 
Haruto      , Watanabe Haruto            , 2004-04-05 , Treasure       , Japan      ,                     , 
Haseung     , Lee Taewoo                 , 1999-07-16 , WHIB           , South Korea,                     , 
Havit       , Lee Havit                  , 1999-06-07 , TRENDZ         , South Korea,                     , Incheon
Hayoung     , Choi Hayoung               , 2000-08-22 , TRCNG          , South Korea,                     , 
Hayuchan    , Park Hayuchan              , 2007-08-21 , The Wind       , South Korea,                     , Incheon
Hee         , Shin Youngseo              , 2005-12-28 , DXMON          , South Korea,                     , 
Heechan     , Yang Heechan               , 1999-07-31 , DKB            , South Korea,                     , 
Heechul     , Kim Heechul                , 1983-07-10 , Super Junior   , South Korea,                     , Hoengseong
Heechul     , Jung Heechul               , 1989-12-09 , ZE:A           , South Korea,                     , Jeju
Heedo       , Yoon Heedo                 , 1996-04-22 , B.I.G          , South Korea,                     , Seoul
Heeju       , Chae Heeju                 , 2003-04-04 , CMDM           , South Korea,                     , 
Heejun      , Oh Heejun                  , 1996-05-08 , KNK            , South Korea,                     , 
Heeseok     , Yun Heeseok                , 1997-06-10 , Limitless      , South Korea,                     , 
Heeseung    , Lee Heeseung               , 2001-10-15 , ENHYPEN        , South Korea,                     , 
Heesoo      , Kim Heesoo                 , 2004-05-12 , The Wind       , South Korea,                     , 
Henry       , Henry Lau                  , 1989-10-11 , Super Junior-M , Canada     , "Hong Kong, Taiwan" , Toronto
Heo Chan    , Heo Chan                   , 1995-12-14 ,                , South Korea,                     , 
HighTop     , Lim Hyeontae               , 1994-03-19 , Bigflo         , South Korea,                     , 
Hikari      , Etani Hikari               , 2002-01-21 , FANTASY BOYS   , Japan      ,                     , 
Hikaru      , Urabe Hikaru               , 2003-07-14 , FANTASY BOYS   , Japan      ,                     , 
Himchan     , Kim Himchan                , 1990-04-19 , B.A.P          , South Korea,                     , Seoul
Hohyeon     , Lee Hohyeon                , 2001-10-14 , TRCNG          , South Korea,                     , 
Hojoon      , Jeon Hojoon                , 1992-10-31 , Topp Dogg      , South Korea,                     , Gwangju
Hojung      , Go Hojung                  , 1994-10-20 , HOTSHOT        , South Korea,                     , 
Hong        , Kim Hong                   , 2005-06-23 , POW            , South Korea,                     , 
Hongbin     , Lee Hongbin                , 1993-09-29 , VIXX           , South Korea,                     , Seoul
Honggi      , Lee Honggi                 , 1990-03-02 , FTISLAND       , South Korea,                     , Gwangju
Hongil      , Yoon Hongil                , 1999-01-11 , Astin          , South Korea,                     , 
Hongjoong   , Kim Hongjoong              , 1998-11-07 , ATEEZ          , South Korea,                     , 
Hongseob    , Shim Hongseob              , 1998-01-08 , 24K            , South Korea,                     , 
Hongseok    , Yang Hongseok              , 1994-04-17 , PENTAGON       , South Korea,                     , 
Hoon        , Yeo Hoonmin                , 1991-08-16 , U-KISS         , South Korea,                     , Namyangju
Hoony       , Lee Seunghoon              , 1992-01-11 , WINNER         , South Korea,                     , Busan
Hoshi       , Kwon Soonyoung             , 1996-06-15 , Seventeen      , South Korea,                     , Namyangju
Hoya        , Lee Howon                  , 1991-03-28 ,                , South Korea,                     , Busan
Hoyoung     , Bae Hoyoung                , 1998-08-10 , Verivery       , South Korea,                     , 
Hueningkai  , Kai Kamal Huening          , 2002-08-14 , TXT            , USA        , South Korea         , 
Hui         , Lee Hwitaek                , 1993-08-28 , PENTAGON       , South Korea,                     , 
Hui         , Liang Hui                  , 1995-07-18 , 24K            , China      ,                     , 
Huijun      , Noh Huijun                 , 2003-10-07 , MCND           , South Korea,                     , 
Hunter      , Papungkorn Lertkiatdamrong , 2005-10-05 , xikers         , Thailand   ,                     , 
Hwall       , Heo Hyunjoon               , 2000-03-09 ,                , South Korea,                     , Busan
Hwanhee     , Lee Hwanhee                , 1998-05-06 , UP10TION       , South Korea,                     , Daejeon
Hwani       , Jo Sihyeon                 , 1994-11-16 , DUSTIN         , South Korea,                     , 
Hwanwoong   , Yeo Hwanwoong              , 1998-08-26 , Oneus          , South Korea,                     , 
Hwarang     , Park Jonghan               , 1995-12-05 , Spectrum       , South Korea,                     , 
Hwarang     , Son Jaewon                 , 2001-04-23 , TEMPEST        , South Korea,                     , 
Hweseung    , Yoo Hweseung               , 1995-02-28 , N.Flying       , South Korea,                     , 
Hwi         , Jo Mingyu                  , 2002-09-26 , Newkidd        , South Korea,                     , 
Hwi         , Lee Choonghyun             , 1999-02-04 , Ciipher        , South Korea,                     , 
Hwi         , Eun Hwi                    , 2004-11-11 , TNX            , South Korea,                     , Gangwon
Hwichan     , Lee Heechan                , 1996-04-18 , Limitless      , South Korea,                     , 
Hwiyoung    , Kim Youngkyun              , 1999-05-11 , SF9            , South Korea,                     , 
Hyeongjun   , Song Hyeongjun             , 2002-11-30 , CRAVITY        , South Korea,                     , 
Hyeongseok  , Chu Hyeongseok             , 2000-09-13 , Astin          , South Korea,                     , 
Hyeontae    , Oh Hyeontae                , 2008-08-13 , FANTASY BOYS   , South Korea,                     , 
Hyesung     , Park Hyeseong              , 1996-01-17 , VANNER         , South Korea,                     , Daejeon
Hyojin      , Kim Hyojin                 , 1994-04-22 , ONF            , South Korea,                     , Seoul
Hyounjoon   , Jang Hyounjoon             , 2008-10-25 , The Wind       , South Korea,                     , 
Hyuk        , Han Sanghyuk               , 1995-07-05 , VIXX           , South Korea,                     , Daejeon
Hyuk        , Yang Hyuk                  , 2000-03-15 , OMEGA X        , South Korea,                     , 
Hyuk        , Koo Bonhyuk                , 2000-04-17 , TEMPEST        , South Korea,                     , 
Hyukjin     , Jang Hyukjin               , 1993-12-20 , FAVE1          , South Korea,                     , Busan
Hyukjin     , Son Hyukjin                , 2003-12-12 , WEUS           , South Korea,                     , 
Hyun        , Park Sunghyun              , 1997-08-25 , 7 O'clock      , South Korea,                     , Suwon
Hyunbin     , Kwon Hyunbin               , 1997-03-04 , JBJ            , South Korea,                     , Seoul
Hyunbin     , Moon Hyunbin               , 2000-02-26 , Ciipher        , South Korea,                     , 
Hyunbin     , Koo Hyunbin                , 2003-05-29 , POW            , South Korea,                     , Changwon
Hyungseok   , Song Hyungseok             , 2002-11-06 , YOUNITE        , South Korea,                     , 
Hyungseop   , Ahn Hyungseop              , 1999-08-09 , TEMPEST        , South Korea,                     , 
Hyungsik    , Park Hyungsik              , 1991-11-16 , ZE:A           , South Korea,                     , Yongin
Hyungwon    , Chae Hyungwon              , 1994-01-15 , MONSTA X       , South Korea,                     , Gwangju
Hyunhah     , Kim Hyunhah                , 2000-05-09 , CMDM           , South Korea,                     , 
Hyunho      , Lee Hyunho                 , 1998-11-04 , D-CRUNCH       , South Korea,                     , 
Hyunjae     , Lee Jaehyun                , 1997-09-13 , The Boyz       , South Korea,                     , 
Hyunjin     , Hwang Hyunjin              , 2000-03-20 , Stray Kids     , South Korea,                     , Seoul
Hyunjun     , Lee Hyunjun                , 1999-12-21 , IZ             , South Korea,                     , 
Hyunjun     , Bae Hyunjun                , 2003-06-06 , ATBO           , South Korea,                     , Seoul
Hyunkyung   , Kim Hyunjong               , 1998-09-05 , Romeo          , South Korea,                     , 
Hyunmin     , Byun Hyunmin               , 1999-04-17 ,                , South Korea,                     , 
Hyunoh      , Park Hyunoh                , 1999-02-12 , D-CRUNCH       , South Korea,                     , 
Hyunseong   , Shim Hyunseong             , 1993-06-09 , Boyfriend      , South Korea,                     , Yeongcheon
Hyunseung   , Jang Hyunseung             , 1989-09-03 ,                , South Korea,                     , Suncheon
Hyunseung   , Kim Hyunseung              , 2002-10-15 , YOUNITE        , South Korea,                     , 
Hyunsik     , Lim Hyunsik                , 1992-03-07 , BtoB           , South Korea,                     , Ilsan
Hyunsik     , Won Hyunsik                , 1997-09-12 , XODIAC         , South Korea,                     , Suwon
Hyunsoo     , Kim Hyunsoo                , 1995-04-12 , D1CE           , South Korea,                     , 
Hyunsoo     , Jang Hyunsoo               , 2003-09-16 , TNX            , South Korea,                     , Sangju
Hyunsuk     , Choi Hyunsuk               , 1999-04-21 , Treasure       , South Korea,                     , Daegu
Hyunsuk     , Yoon Hyunsuk               , 2001-09-08 , CIX            , South Korea,                     , 
Hyunuk      , Han Hyunuk                 , 1994-09-26 , IN2IT          , South Korea,                     , 
Hyunwoo     , Kim Hyunwoo                , 2001-01-21 , BXB            , South Korea,                     , Seoul
Hyunwoo     , Baek Hyunwoo               , 1999-03-19 , D-CRUNCH       , South Korea,                     , 
Hyunwoo     , Choi Hyunwoo               , 2004-12-04 , xikers         , South Korea,                     , Gangwon
Hyunwook    , Ji Hyunwook                , 1998-07-01 , D-CRUNCH       , South Korea,                     , 
Hyunwoong   , Kim Hyunwoong              , 1998-02-08 , 14U            , South Korea,                     , 
I.M         , Lim Changkyun              , 1996-01-26 , MONSTA X       , South Korea,                     , Gwangju
I.N         , Yang Jeongin               , 2001-02-08 , Stray Kids     , South Korea,                     , Busan
