Stage Name,Full Name,Date of Birth,Group,Country
Dana,Jang Dana,2003-12-25,HOT ISSUE,South Korea
Danielle,Mo Jihye,2005-04-11,NewJeans,South Korea
Dany,Jeon Eunji,1998-01-20,Ho1iday,South Korea
Dara,Park Sandara,1984-11-12,2NE1,South Korea
Daseul,Yang Daseul,2000-09-14,Maka Maka,South Korea
Dasom,Kim Dasom,1993-05-06,SISTAR,South Korea
Dasom,Lee Dasom,1993-11-13,2EYES,South Korea
Dawon,Nam Dawon,1997-03-16,WJSN,South Korea
Dawon,Lee Dawon,1996-12-02,ARIAZ,South Korea
Daye,Kim Hyunjung,1998-02-25,Berry Good,South Korea
Dayeon,Hwang Da Kyeon,1995-11-17,XUM,South Korea
Dayeon,Kim Dayeon,2003-03-02,Kep1er,South Korea
Dayoung,Kim Dayoung,1991-02-02,Blady,South Korea
Dayoung,Im Dayoung,1999-05-14,WJSN,South Korea
Dayun,Kim Dayun,2000-11-20,Bonus Baby,South Korea
Della,Park Sehyun,1995-09-03,Rockit Girl,South Korea
Denise,Kim Denise,2001-01-11,,South Korea
Dia,Kwak Minnyeong,1999-09-03,Maka Maka,South Korea
Dia,Choi Eunji,2001-07-16,Pixy,South Korea
Dita,Dita Karang,1996-12-25,SECRET NUMBER,Indonesia
Do-A,Choi Yuna,1999-02-02,ALICE,South Korea
Doa,Im Youngseo,2001-10-29,We;Na,South Korea
Doah,Kim Doah,2003-12-04,FANATICS,South Korea
Doeun,Kim Doeun,2007-12-24,YOUNG POSSE,South Korea
Dohee,Yoon Dohee,1999-09-24,,South Korea
Dohee,Min Dohee,1994-09-25,Tiny-G,South Korea
Dohee,Kwon Dohee,2002-08-01,Cignature,South Korea
Doi,Kim Doi,1994-04-12,FANATICS,South Korea
Dosie,Jang Eunseung,2000-02-11,Purple Kiss,South Korea
Doyeon,Kim Doyeon,1999-12-04,Weki Meki,South Korea
Duna,Kang Duna,2005-04-28,CSR,South Korea
E-Young,Noh Yiyoung,1992-08-16,After School,South Korea
E.Ji,Choi Jiwon,2000-11-08,ICHILLIN',South Korea
E.sha,Kwon Yena,1998-12-29,X:IN,Australia
E:U,Park Jiwon,1998-05-19,Everglow,South Korea
EJ,Kim Eunji,1997-08-13,ALICE,South Korea
Elisia,Elisia Lyrisse Parmisano,2009-04-18,UNIS,Philippines
Elkie,Chong Ting Yan,1998-11-02,,Hong Kong
Ella,Kim Kyungjoo,1998-03-26,,South Korea
Ellin,Kim Minyoung,1990-04-02,Crayon Pop,South Korea
Elly,Jung Haerim,1998-07-20,Weki Meki,South Korea
Ellyn,Bang Sunhee,2002-10-19,Girlkind,South Korea
Elva,Lee Yonghwa,2003-05-05,ILY:1,South Korea
Emma,Song Hyemin,2000-04-26,BADVILLAIN,South Korea
Eseo,Noh Hyunjung,1996-03-04,LUNARSOLAR,South Korea
Euaerin,Lee Hyemin,1988-05-03,,South Korea
Euijeong,Yeon Euijeong,2001-07-21,KELT9b,South Korea
Euijin,Hong Euijin,1996-10-08,Sonamoo,South Korea
Eun,Choi Eunmi,1990-05-14,Two X,South Korea
Euna,,2003-05-25,We;Na,South Korea
EunB,Shin Eunbi,2000-09-17,Maka Maka,South Korea
EunB,Byun Eunbi,2000-11-23,PRECIOUS,South Korea
Eunbi,Kwon Eunbi,1995-09-27,IZ*ONE,South Korea
Eunbin,Kwon Eunbin,2000-01-06,CLC,South Korea
Eunchae,Kwon Chaewon,1999-05-26,DIA,South Korea
Eunchae,Son Eunchae,1999-10-06,bugAboo,South Korea
Eunchae,Hong Eunchae,2006-11-10,LE SSERAFIM,South Korea
Eunha,Jung Eunbi,1997-05-30,VIVIZ,South Korea
Eunice,Heo Sooyeon,1991-09-02,DIA,South Korea
Eunji,Jung Eunji,1993-08-18,Apink,South Korea
Eunji,Hong Eunji,1992-07-19,Brave Girls,South Korea
Eunjin,Ahn Eunjin,1997-08-31,,South Korea
Eunjin,Ma Eunjin,1997-05-23,Playback,South Korea
Eunjin,Moon Eunjin,1998-11-05,Highteen,South Korea
Eunjo,Park Eunjo,2002-03-07,Dreamnote,South Korea
Eunjung,Ham Eunjung,1988-12-12,T-ara,South Korea
Eunseo,Son Juyeon,1998-05-27,WJSN,South Korea
Eunwoo,Jeong Eunwoo,1998-07-01,Hinapia,South Korea
Eunyoung,Joo Eunyoung,1992-06-12,Two X,South Korea
Exy,Chu Sojung,1995-11-06,WJSN,South Korea
Eyedi,Nam Yujin,1995-12-08,,South Korea
Fatou,Fatou Samba,1995-03-23,Blackswan,Belgium
Fei,Wang FeiFei,1987-04-27,miss A,China
G.NA,Gina Jane Choi,1987-09-13,,Canada
Gabi,Gabriela Strassburger Dalcin,2002-11-07,Blackswan,Brazil
Gabin,Kim Gabin,1989-09-18,Blady,South Korea
Gaeul,Park Gaeul,1999-05-08,Favorite,South Korea
Gaeul,Kim Gaeul,2002-09-24,IVE,South Korea
Gaeun,Cho Kaeun,1992-07-28,,South Korea
Gaeun,Oh Gaeun,2005-11-08,Madein,South Korea
Gaeun,Lee Gaeun,2000-07-18,ARTBEAT,South Korea
Gaga,Lee Soobin,1994-11-10,Gate9,South Korea
Gaga,Li Jia Jia,1999-09-01,,China
Gahyeon,Lee Gahyeon,1999-02-03,Dreamcatcher,South Korea
Gain,Son Gain,1987-09-20,Brown Eyed Girls,South Korea
Gaon,Beom Gaon,2001-03-09,Bonus Baby,South Korea
Garam,Kim Garam,2005-11-16,,South Korea
Gayoon,Heo Gayoon,1990-05-18,4minute,South Korea
Gayoung,Kim Gayoung,1991-12-02,Stellar,South Korea
Gehlee,Gehlee Dangca,2007-08-19,UNIS,Philippines
Genie,Cho Heejin,2002-03-19,TRACER,South Korea
Geumhee,Han Geumhee,2005-03-04,CSR,South Korea
Geummi,Baek Boram,1988-06-18,Crayon Pop,South Korea
Giru,Park Giru,1991-08-14,Blady,South Korea
Giselle,Uchinaga Aeri,2000-10-30,aespa,Japan
Goeun,Na Goeun,1999-09-03,Purple Kiss,South Korea
Gowon,Park Chaewon,2000-11-19,Loossemble,South Korea
Gowoon,Moon Yujeong,1998-12-18,Berry Good,South Korea
Gracie,Kim Gaeun,1996-10-28,H.U.B,South Korea
Gyuri,Park Gyuri,1988-05-21,KARA,South Korea
Gyuri,Jang Gyuri,1997-12-27,,South Korea
Habin,Yoo Habin,2002-03-10,,South Korea
Haebin,Han Haebin,1995-08-16,Gugudan,South Korea
Haein,Yeom Haein,1995-05-19,LABOUM,South Korea
Haena,Lee Haena,1991-06-02,Matilda,South Korea
Haena,Jeon Eunbi,2002-02-19,ANS,South Korea
Haeri,Lee Haeri,1985-02-14,Davichi,South Korea
Haeri,Jung Haeri,1997-01-14,P.O.P,South Korea
Haerin,Kang Haerin,2006-05-15,NewJeans,South Korea
Haeryeong,Na Haeryeong,1994-11-11,BESTie,South Korea
Haeun,Yoon Haeun,1999-03-12,3YE,South Korea
Haeun,Lim Haeun,2008-11-02,Lapillus,South Korea
Haeun,Lee Haeun,2002-06-25,ARTBEAT,South Korea
Haewon,Oh Haewon,2003-02-25,NMIXX,South Korea
Haeyeon,Lee Taeyeon,1994-01-11,Gate9,South Korea
Haeyoon,Park Haeyoon,1996-01-10,Cherry Bullet,South Korea
Hajeong,Lee Hajeong,1997-09-23,,South Korea
Han Hyeri,Han Hyeri,1997-08-24,I.B.I,South Korea
Han Leeseul,Han Jiyoon,2000-02-12,Rockit Girl,South Korea
Hana,Shin Bora,1993-04-30,Gugudan,South Korea
Hana,Jung Hana,1990-02-02,SECRET,South Korea
Hana,Hayase Hana,2000-02-27,ILY:1,Japan
Hanbyeol,Ahn Hanbyeol,2003-10-13,,South Korea
Hanbyul,Kyung Hanbyul,2005-07-01,PRECIOUS,South Korea
Handong,Han Dong,1996-03-26,Dreamcatcher,China
Haneul,Choi Haneul,2000-11-28,Saturday,South Korea
Haneul,Won Haneul,2005-05-25,KISS OF LIFE,South Korea
Hani,Ahn Hee-yeon,1992-05-01,EXID,South Korea
Hanna,Shin Jiyeon,1994-02-19,MIXX,South Korea
Hannah,Bae Hyunyoung,1999-10-23,Queenz Eye,South Korea
Hannah,Kang Minkyung,2003-01-04,X:IN,South Korea
Hanni,Pham Ngoc Han,2004-10-06,NewJeans,Vietnam
Hanwoom,Byun Hanwoom,2001-06-05,PRECIOUS,South Korea
Haram,Kim Haram,2001-01-13,Billlie,South Korea
Haram,Shin Haram,2007-10-17,BABYMONSTER,South Korea
Haram,Yoo Haram,2007-04-12,Hearts2Hearts,South Korea
Hara†,Koo Hara,1991-01-13,KARA,South Korea
Hari,,2005-04-08,Girls' World,Japan
Harin,,1995-11-21,Lusty,South Korea
Harin,Park Guenhye,2000-05-26,Pink Fantasy,South Korea
Harin,Seo Harin,2000-12-07,BOTOPASS,South Korea
Haru,Han Sangsook,1994-07-06,Gate9,South Korea
Haru,Abe Haruno,2000-02-21,NATURE,Japan
Haru,Lee Yoojeong,1997-02-26,Ho1iday,South Korea
Haruna,Osato Haruna,2006-01-30,Billlie,Japan
Haseul,Jo Haseul,1997-08-18,ARTMS,South Korea
Hayeon,Jeong Hayeon,2007-08-01,tripleS,South Korea
Hayoon,Jung Hayoon,1998-11-21,Bonus Baby,South Korea
Hayoung,Oh Hayoung,1996-07-19,Apink,South Korea
Hayoung,Lee Hayoung,1993-08-03,Playback,South Korea
Hayoung,Song Hayoung,1997-09-29,fromis_9,South Korea
Hayun,Lee Hayun,1994-08-29,,South Korea
Hayun,Choi Hayun,2004-01-16,Hi-L,South Korea
Hayun,Ha Seyun,2003-11-20,PRIMROSE,South Korea
Heejin,Jeon Heejin,2000-10-19,ARTMS,South Korea
Heejin,Song Heejin,1995-08-19,Good Day,South Korea
Heejoo,Jeon Heejoo,1996-11-30,Ho1iday,South Korea
Heeo,Gwak Heeoh,1994-05-02,4TEN,South Korea
Heesu,Kim Heesu,1998-03-24,Maka Maka,South Korea
Heesun,Park Heesun,2005-01-25,Pink Fantasy,South Korea
Heeyu,Choi Heejae,1995-06-30,MIXX,South Korea
Henny,Kang Gayoung,1994-12-01,,South Korea
High.D,Kim Dohee,1996-12-21,Sonamoo,South Korea
Hikaru,Ezaki Hikaru,2004-03-12,Kep1er,Japan
Hina,Nagai Hina,2003-04-07,LIGHTSUM,Japan
Hitomi,Honda Hitomi,2001-10-06,IZ*ONE,Japan
Hu'e,Kim Inhye,2003-11-20,BADVILLAIN,South Korea
Huihyeon,Ki Huihyeon,1995-06-16,DIA,South Korea
Huiyeon,Oh Huiyeon,2005-08-01,,South Korea
Hwasa,Ahn Hyejin,1995-07-23,Mamamoo,South Korea
Hwiseo,Jo Hwihyeon,2002-07-31,H1-KEY,South Korea
Hyangsuk,Lee Hyangsuk,1991-04-24,2EYES,South Korea
Hyebin,Lee Hyebin,1996-01-12,MOMOLAND,South Korea
Hyebin,Im Hyebin,1999-11-10,Highteen,South Korea
Hyebin,Kim Hyebin,1997-03-29,AREAL,South Korea
Hyein,Lee Hyein,2008-04-21,NewJeans,South Korea
Hyejeong,Shin Hyejeong,1993-08-10,AoA,South Korea
Hyeji,Jeong Hyeji,1992-04-02,4TEN,South Korea
Hyejin,Baek Hyejin,1996-11-21,4TEN,South Korea
Hyejin,Kang Hyejin,2000-07-13,CRAXY,South Korea
Hyejoo,Park Hyunjoo,1999-01-12,Highteen,South Korea
Hyeju,Son Hyeju,2001-11-13,Loossemble,South Korea
Hyeju,Hong Hyeju,2003-12-09,CLASS:y,South Korea
Hyemi,Pyo Hyemi,1991-04-03,9Muses,South Korea
Hyemi,Kim Hyemi,1990-08-10,Fiestar,South Korea
Hyeoeun,Lee Hyoeun,1993-03-16,Stellar,South Korea
Hyeongshin,Kim Hyungshin,2002-05-03,HOT ISSUE,South Korea
Hyeran,Noh Hyeran,1993-04-09,,South Korea
Hyeri,Lee Hyeri,1994-06-09,Girl's Day,South Korea
Hyerim,Woo Hyerim,1992-09-01,Wonder Girls,South Korea
Hyerin,Seo Hyerin,1993-08-23,EXID,South Korea
Hyerin,Kim Hyerin,1993-06-13,2EYES,South Korea
Hyerin,Jeong Hyerin,2007-04-12,tripleS,South Korea
Hyewon,Kang Hyewon,1999-07-05,IZ*ONE,South Korea
Hyeyeon,Kang Hyeyeon,1990-12-08,BESTie,South Korea
Hyeyeon,Cho Hyeyeon,2000-08-05,,South Korea
Hyogyeong,Jang Hyogyeong,1999-11-15,ARIAZ,South Korea
Hyojung,Choi Hyojung,1994-07-28,Oh My Girl,South Korea
Hyomin,Park Sunyoung,1989-05-30,T-ara,South Korea
Hyori,Inn Hyori,2000-06-02,mimiirose,South Korea
Hyorin,Kim Hyojung,1990-12-11,SISTAR,South Korea
Hyosun,Lim Hyosun,1998-07-10,H.U.B,South Korea
Hyosung,Jun Hyoseong,1989-10-13,SECRET,South Korea
Hyoyeon,Kim Hyoyeon,1989-09-22,SNSD,South Korea
HyunA,Kim Hyuna,1992-06-06,4minute,South Korea
Hyuna,Moon Hyuna,1987-01-19,,South Korea
Hyunbin,Kim Hyunbin,2004-05-26,TRI.BE,South Korea
Hyungseo,Myeong Hyeongseo,2001-06-25,CLASS:y,South Korea
Hyunji,Kim Hyunji,1992-06-30,Hashtag,South Korea
Hyunjin,Kim Hyunjin,2000-11-15,Loossemble,South Korea
Hyunjoo,Lee Hyunjoo,1998-02-05,UNI.T,South Korea
Hyunseo,Go Hyunseo,1999-06-17,,South Korea
Hyunyoung,Cho Hyunyoung,1991-08-11,Rainbow,South Korea
I,Cha Yoonji,1996-12-02,,South Korea
I.L,Kim Jiwon,1997-07-01,IRRIS,South Korea
Iaan,Yoo Dongju,2002-03-22,XUM,South Korea
Ida,Ko Chaeyoung,2000-05-19,MAJORS,South Korea
Ina,Jeong Yina,2004-06-08,BADVILLAIN,South Korea
Ireh,Cho Seoyoung,2002-04-30,Purple Kiss,South Korea
Irene,Bae Juhyun,1991-03-29,Red Velvet,South Korea
Iroha,Hokazuno Iroha,2008-02-04,ILLIT,Japan
Isa,Lee Chaeyoung,2002-01-23,STAYC,South Korea
Isol,,1997-05-01,Lusty,South Korea
IU,Lee Jieun,1993-05-16,,South Korea
J,Lee Yeji,1998-02-12,ANS,South Korea
J,Jang Yeeun,2004-12-09,STAYC,South Korea
J.Min,Shin Minjung,1994-11-20,Tiny-G,South Korea
Jackie,Kang Chaeyeon,2001-11-17,ICHILLIN',USA
Jaehee,Lee Jaehee,2004-03-18,Weeekly,South Korea
Jaekyung,Kim Jaekyung,1988-12-24,Rainbow,South Korea
Jamie,Park Jimin,1997-07-05,15&,South Korea
Jane,Sung Jiyeon,1997-12-20,MOMOLAND,South Korea
Jea,Kim Hyojin,1981-09-18,Brown Eyed Girls,South Korea
Jeewon,Kim Jiwon,1999-04-01,Cignature,South Korea
Jei,Kim Jinhee,1989-09-05,Fiestar,South Korea
Jenna,Kim Minji,2006-10-06,,South Korea
Jennie,Kim Jennie,1996-01-16,BLACKPINK,South Korea
Jenny,Lee Soyul,1996-09-04,,South Korea
Jeonghee,Go Jeonghee,2000-03-11,Favorite,South Korea
Jeongyeon,Yoo Jeongyeon,1996-11-01,Twice,South Korea
Jeonyul,Jeon Yuri,1994-03-20,Stellar,South Korea
Jerrry,Ahn Sohyun,1992-08-27,Tahiti,South Korea
Jessica,Jessica Jung,1989-04-18,,South Korea
Jia,Meng Jia,1989-02-03,miss A,China
Jia,Guo Jiajia,2005-07-30,TRI.BE,China
Jia,Yoon Jia,2004-01-16,mimiirose,South Korea
Jiae,Yoo Jiae,1993-05-21,Lovelyz,South Korea
Jiae,Kim Jiae,1995-10-31,Wassup,South Korea
Jian,Kwon Jieun,2001-03-14,LUNARSOLAR,South Korea
Jian,Kim Jian,2006-11-04,,South Korea
Jiana,Noh Jihyeon,2006-02-02,YOUNG POSSE,South Korea
Jieun,Song Jieun,1990-05-05,SECRET,South Korea
Jieun,Park Jieun,1997-09-04,,South Korea
Jieun,Choi Jieun,2001-03-03,Bling Bling,South Korea
Jieun,Han Jieun,2009-11-05,YOUNG POSSE,South Korea
Jihan,Han Jihyo,2004-07-12,Weeekly,South Korea
Jiheon,Baek Jiheon,2003-04-17,fromis_9,South Korea
Jiho,Kim Jiho,1997-04-04,,South Korea
Jihyo,Park Jisoo,1997-02-01,Twice,South Korea
Jihyo,Lee Jihyo,2001-04-22,PRECIOUS,South Korea
Jihyun,Nam Jihyun,1990-01-09,4minute,South Korea
Jimin,Shin Jimin,1991-01-08,,South Korea
Jimin,Won Jimin,2007-11-25,CLASS:y,South Korea
JIN,Park Myungeun,1996-06-12,Lovelyz,South Korea
JinE,Shin Hyejin,1995-01-22,,South Korea
Jinha,Kim Jinha,2003-11-21,TRI.BE,South Korea
Jinhui,,1996-11-21,Lusty,South Korea
Jinju,Park Jinju,1990-04-28,,South Korea
Jinni,Choi Yujin,2004-04-16,,South Korea
Jinny,Park Jinhee,1998-01-19,SECRET NUMBER,South Korea
Jinsol,Lee Jinsol,2001-12-04,APRIL,South Korea
JinSoul,Jung Jinsol,1997-06-13,ARTMS,South Korea
Jisoo,Seo Jisoo,1994-02-11,Lovelyz,South Korea
Jisoo,Kim Jisoo,1995-01-03,BLACKPINK,South Korea
Jisoo,Shin Jisoo,1994-02-28,Tahiti,South Korea
Jisoo,Jung Jisoo,2003-11-22,Busters,South Korea
Jisook,Kim Jisook,1990-07-18,Rainbow,South Korea
Jisun,Roh Jisun,1998-11-23,fromis_9,South Korea
Jisun,Hwang Jisun,1989-10-17,S#aFLA,South Korea
Jiu,Kim Minji,1994-05-17,Dreamcatcher,South Korea
Jiwon,Yang Jiwon,1988-04-05,UNI.T,South Korea
Jiwon,Park Jiwon,1998-03-20,fromis_9,South Korea
Jiwon,Heo Jiwon,2000-09-04,Cherry Bullet,South Korea
Jiwon,Park Jiwon,1997-03-17,BOTOPASS,South Korea
Jiwoo,Jeon Jiwoo,1996-10-04,KARD,South Korea
Jiwoo,Kim Jiwoo,2005-04-13,NMIXX,South Korea
Jiwoo,Lee Jiwoo,2005-10-24,tripleS,South Korea
Jiwoo,Choi Jiwoo,2006-09-07,Hearts2Hearts,South Korea
Jiyeon,Park Jiyeon,1993-06-07,T-ara,South Korea
Jiyoon,Jeon Jiyoon,1990-10-15,4minute,South Korea
Jiyoon,Woo Jiyoon,1996-01-06,Bolbbalgan4,South Korea
Jiyoon,Shin Jiyoon,2002-03-02,,South Korea
Jiyoon,Jeong Jiyoon,2000-09-15,ICHILLIN',South Korea
Jiyou,Im Changsook,1989-06-15,Two X,South Korea
Jiyoung,Kang Jiyoung,1994-01-18,KARA,South Korea
Jiyoung,Ahn Jiyoung,1995-09-14,Bolbbalgan4,South Korea
Jiyul,Yang Jungyoon,1991-07-30,,South Korea
JK,Kim Jikang,1998-03-17,Girlkind,South Korea
Johyun,Shin Jiwon,1996-04-14,Berry Good,South Korea
JOO,Jung Minjoo,1990-10-11,,South Korea
Joo E,Lee Joowon,1999-08-18,MOMOLAND,South Korea
JooA,Lee Juhyun,2002-03-04,Hi-L,South Korea
Joobin,Joo Bin,2009-01-16,tripleS,South Korea
Jooeun,Kim Jooeun,2008-12-03,Hearts2Hearts,South Korea
Joonie,Park Junhee,2002-05-24,ICHILLIN',USA
Jooyeon,Lee Jooyeon,1987-03-19,,South Korea
Joy,Park Sooyoung,1996-09-03,Red Velvet,South Korea
Judy,Kim Dahye,1995-05-16,,South Korea
Jueun,Lee Jooeun,1995-07-07,DIA,South Korea
Jueun,Jo Jueun,2001-01-27,ARIAZ,South Korea
Juhyeon,Lee Juhyeon,2004-04-08,LIGHTSUM,South Korea
Juhyun,Cha Juhyun,2000-04-01,Bling Bling,South Korea
Juju,Park Juyoung,1996-01-03,Gate9,South Korea
Julie,Julie Han,2000-03-29,KISS OF LIFE,South Korea
Jungah,Kim Jungah,1983-08-02,,South Korea
Junghwa,Park Junghwa,1995-05-08,EXID,South Korea
Jungwoo,Uhm Jungwoo,1999-04-02,BVNDIT,South Korea
