stage_name,full_name,birth_date,group_name,country
Yoojung,Lee Taeyeop,1997-05-19,OnlyOneOf,South Korea
Yoojun,Jun Yoojun,1995-07-26,D1CE,South Korea
Yoojun,Jung Gun,2000-12-27,BAE173,South Korea
Yoochun,Park Yoochun,1986-07-04,JYJ,South Korea
Yongseung,Kim Yongseung,2000-06-17,Verivery,South Korea
Yongseok,Kim Yongseok,1993-01-08,CROSS GENE,South Korea
Yongseok,Choi Yongseok,1996-05-23,CHECKMATE,South Korea
Yonghwa,Jung Yonghwa,1989-06-22,CNBLUE,South Korea
Yonghoon,Jin Yonghoon,1994-08-17,Onewe,South Korea
Yonghee,Kim Yonghee,2000-02-17,CIX,South Korea
Yongha,Yoo Yongha,1999-01-11,WEi,South Korea
Yongguk,Bang Yongguk,1990-03-31,B.A.P,South Korea
Yonggeun,Jo Yonggeun,1995-01-23,D1CE,South Korea
Yohan,Kim Yohan,1999-09-22,WEi,South Korea
Yoel,Kim Yoel,2001-01-25,AIMERS,South Korea
Yixuan,Zhou Yixuan,1990-12-11,UNIQ,China
Yijeong,Jang Yijeong,1993-09-10,HISTORY,South Korea
Yibo,Wang Yibo,1997-08-05,UNIQ,China
Yewang,Seo Yewang,2005-03-12,EPEX,South Korea
Yesung,Kim Jongwoon,1984-08-24,Super Junior,South Korea
Yeram,Yang Yeram,2000-03-31,Astin,South Korea
Yeoun,Lee Kyeongbin,1997-09-03,ARGON,South Korea
Yeosang,Kang Yeosang,1999-06-15,ATEEZ,South Korea
Yeontae,Jeong Yeontae,1992-07-06,IN2IT,South Korea
Yeonkyu,Kim Yeonkyu,2004-05-03,ATBO,South Korea
Yeonjun,Choi Yeonjun,1999-09-13,TXT,South Korea
Yeonho,Ju Yeonho,2000-05-31,Verivery,South Korea
Yeonggwang,Ahn Youngjun,1997-09-22,VANNER,South Korea
Yeo One,Yeon Changgu,1996-03-27,PENTAGON,South Korea
Yejun,Oh Yejun,2002-08-23,E'LAST,South Korea
Yehyeon,Kim Yehyeon,1999-09-12,GIDONGDAE,South Korea
Yedam,Bang Yedam,2002-05-07,Treasure,South Korea
Yedam,Lee Yedam,2003-01-19,ONE PACT,South Korea
Yechan,Shin Yechan,2001-05-14,OMEGA X,South Korea
Yechan,Jeong Yechan,2005-10-27,TRENDZ,South Korea
Yechan,Lee Yechan,2005-10-21,xikers,South Korea
Yano,Seo Sangwon,1995-09-27,Topp Dogg,South Korea
Yan An,Yan An,1996-10-25,PENTAGON,China
Y,Choi Sungyoon,1995-07-31,Golden Child,South Korea
Xiweol,Kang Minseok,1996-10-21,VARSITY,South Korea
Xiumin,Kim Minseok,1990-03-26,EXO,South Korea
Xion,Son Dongju,2000-01-10,Oneus,South Korea
Xin,Wang Xinwi,1996-11-10,VARSITY,China
Xiao,Lee Dongyeol,1998-12-13,UP10TION,South Korea
Xia Junsu,Kim Junsu,1986-12-15,JYJ,South Korea
Xero,Shin Jiho,1994-02-03,Topp Dogg,South Korea
XEN,Lee Jinwoo,1998-02-20,OMEGA X,South Korea
Wyatt,Shim Jaeyoung,1995-01-23,ONF,South Korea
Wow,Kim Seyoon,1993-02-28,A.C.E,South Korea
Woozi,Lee Jihoon,1996-11-22,Seventeen,South Korea
Wooyoung,Jang Wooyoung,1989-04-30,2:00 PM,South Korea
Wooyoung,Jung Wooyoung,1999-11-26,ATEEZ,South Korea
Wooyoung,Hwang Wooyoung,2003-06-29,AIMERS,South Korea
Wooyeop,Jo Wooyeop,2000-09-27,TRCNG,South Korea
Woosung,Choi Sunghyuk,1994-09-24,SNUPER,South Korea
Woosu,Kim Minseok,1999-11-23,IZ,South Korea
Wooshin,Kim Wooseok,1996-10-27,,South Korea
Wooseok,Jeong Wooseok,1998-01-31,PENTAGON,South Korea
Wooseok,Kim Wooseok,2004-03-12,FANTASY BOYS,South Korea
Woono,Song Wonho,2003-04-05,YOUNITE,South Korea
Woonhak,Kim Woonhak,2006-11-29,BOYNEXTDOOR,South Korea
Woonggi,Cha Woonggi,2002-04-23,TOO,South Korea
Wooju,Cho Wooju,2004-01-21,BLITZERS,South Korea
Woojoo,Kim Sangyoon,1996-09-18,14U,South Korea
Woojin,Park Woojin,1999-11-02,AB6IX,South Korea
Woojin,Lee Woojin,2003-04-03,TheEastLight,South Korea
Woojin,Kim Woojin,1997-04-08,,South Korea
Woojin,Lee Woojin,2003-04-07,Ghost9,South Korea
Woojin,Lee Woojin,1996-11-22,MY.st,South Korea
Woohyun,Nam Woohyun,1991-02-08,Infinite,South Korea
Woodam,Park Woodam,1995-08-02,D1CE,South Korea
Woochul,Shin Woochul,2002-10-02,Newkidd,South Korea
Woobin,Seo Woobin,2000-10-16,CRAVITY,South Korea
Woobin,Jeong Woobin,2000-04-01,Luminous,South Korea
Wonwoo,Jeon Wonwoo,1996-07-17,Seventeen,South Korea
Wontak,Ju Wontak,1996-02-24,,South Korea
Wonpil,Kim Wonpil,1994-04-28,DAY6,South Korea
Wonjun,Lee Wonjun,2002-03-08,E'LAST,South Korea
Wonjun,Jeong Wonjun,1998-07-21,ABLUE,South Korea
Wonjun,Moon Wonjun,2005-10-26,WHIB,South Korea
Wonjin,Won Jin,2003-01-01,GIDONGDAE,South Korea
Wonjin,Ham Wonjin,2001-03-22,CRAVITY,South Korea
Wonho,Shin Hoseok,1993-03-01,,South Korea
Wondae,Seol Wondae,1998-04-28,Dongkiz,South Korea
Woncheol,Jung Woncheol,1996-01-12,MY.st,South Korea
Wonbin,Park Wonbin,2002-03-02,RIIZE,South Korea
Won Hyuk,Won Hyuk,2002-02-22,E'LAST,South Korea
Won Bin,Won Bin,2004-07-01,ATBO,South Korea
Won,Park Sungwon,2003-12-18,Ciipher,South Korea
Wish,Kwak Dawit,2002-06-11,EPEX,South Korea
Winwin,Dong Sicheng,1997-10-28,NCT,China
Winnie,Pattipong Kasemsant,1998-11-18,NINE.i,Thailand
WinL,Yang Seungho,1996-06-16,ABLUE,South Korea
Win,Bang Junhyuk,2004-12-19,MCND,South Korea
Wenhan,Li Wenhan,1994-07-22,UNIQ,China
Wei,Lee Jinhyuk,1996-07-08,,South Korea
Wain,Park Sehoon,2000-10-25,XODIAC,South Korea
Vernon,Choi Hansol,1998-02-18,Seventeen,USA
Vari,Jae Hyun,2000-09-03,NINE.i,South Korea
Vahn,Kim Jungwoo,1999-05-07,NINE.i,South Korea
V,Kim Taehyung,1995-12-30,BTS,South Korea
UGeon,Yoo Seungyong,2003-05-26,WHIB,South Korea
U-Kwon,Kim Yukwon,1992-04-09,Block B,South Korea
U-Know Yunho,Jung Yunho,1986-02-06,TVXQ,South Korea
U,Mizuguchi Yuto,1999-03-16,ONF,Japan
U,Sun Hengyu,2001-06-22,BLANK2Y,China
TK,Kim Taegeuk,2006-01-09,DXMON,South Korea
Timoteo,Kim Moongyu,1993-01-25,HOTSHOT,South Korea
Thunder,Park Sanghyun,1990-10-07,,South Korea
Theo,Choi Taeyang,2001-07-01,P1Harmony,South Korea
The8,Xu Minghao,1997-11-07,Seventeen,China
Thanatorn,Thanathorn Rueangsuwan,2005-04-05,The Wind,South Korea
Teo,Jang Sungsik,1997-10-22,DKB,South Korea
Ten,Chittaphon Leechaiyapornkul,1996-02-27,NCT,Thailand
Taro,Choi Wonjin,1994-11-09,Hot Blood Youth,South Korea
Tao,Hwang Zitao,1993-05-02,,China
Tan,Choi Seokwon,1996-08-25,Ciipher,South Korea
Takuya,Terada Takuya,1992-03-18,CROSS GENE,Japan
Takuma,Sato Takuma,2003-08-05,LUN8,South Korea
TAG,Son Youngtaek,1998-04-13,Golden Child,South Korea
TAG,Yeom Taekyun,2002-09-30,ONE PACT,South Korea
Taeyoung,Kim Taeyoung,2003-01-27,CRAVITY,South Korea
Taeyoung,Kim Taeyoung,1999-06-18,7 O'clock,South Korea
Taeyong,Lee Taeyong,1995-07-01,NCT,South Korea
Taeyang,Dong Youngbae,1988-05-18,BIGBANG,South Korea
Taeyang,Yoo Taeyang,1997-02-28,SF9,South Korea
Taewoong,Yoo Taewoong,1994-05-24,SNUPER,South Korea
Taesung,Lee Taesung,2003-12-19,,South Korea
Taeseon,Yang Taeseon,2000-09-17,TRCNG,South Korea
Taesan,Han Dongmin,2004-08-10,BOYNEXTDOOR,South Korea
Taerae,Kim Taerae,2002-09-05,TEMPEST,South Korea
Taerae,Kim Taerae,2002-07-14,ZEROBASEONE,South Korea
Taemin,Lee Taemin,1993-07-18,SHINee,South Korea
Taekhyeon,Jung Taekhyeon,2003-07-28,1the9,South Korea
Taeil,Lee Taeil,1990-09-24,Block B,South Korea
Taeil,Moon Taeil,1994-06-14,NCT,South Korea
Taehyun,Nam Taehyun,1994-05-10,,South Korea
Taehyun,Noh Taehyun,1993-10-15,HOTSHOT,South Korea
Taehyun,Kang Taehyun,2002-02-05,TXT,South Korea
Taehwan,Lee Taehwan,1994-01-15,VANNER,South Korea
Taehun,Lee Taehoon,2000-03-21,NINE.i,South Korea
Taehun,Choi Taehun,2002-11-19,TNX,South Korea
Taeheon,Kim Taeheon,1989-06-18,ZE:A,South Korea
Taeeun,Moon Taeeun,2000-02-09,IM,South Korea
Taedong,Kim Taedong,1997-11-07,OMEGA X,South Korea
Taecyeon,Ok Taecyeon,1988-12-27,2:00 PM,South Korea
T.O.P,Choi Seunghyun,1987-11-04,BIGBANG,South Korea
Sya,Lee Junyoung,2002-09-09,BLITZERS,South Korea
Suwoong,Lee Suwoong,1995-01-20,Boys Republic,South Korea
Sunyoul,Seon Yein,1996-11-06,UP10TION,South Korea
Sunwoo,Choi Sunwoo,1992-03-12,Boys Republic,South Korea
Sunwoo,Kim Sunwoo,2000-04-12,The Boyz,South Korea
Sunoo,Kim Sunwoo,2003-06-24,ENHYPEN,South Korea
Sungyeol,Lee Sungyeol,1991-08-27,Infinite,South Korea
Sungwoon,Ha Sungwoon,1994-03-22,Wanna One,South Korea
Sungoh,Yoo Sungoh,1991-01-08,,South Korea
Sungmin,Lee Sungmin,1986-01-01,Super Junior,South Korea
Sungmin,Oh Sungmin,1990-12-31,Bigflo,South Korea
Sungmin,Hong Sungmin,2004-09-17,FANTASY BOYS,South Korea
Sungkyu,Kim Sungkyu,1989-04-28,Infinite,South Korea
Sungjun,Park Sungjun,1992-12-17,Boys Republic,South Korea
Sungjun,Lee Sungjun,2002-06-15,BLANK2Y,South Korea
Sungjun,Oh Sungjun,2005-08-30,TNX,South Korea
Sungjoo,Kim Sungjoo,1994-02-16,UNIQ,South Korea
Sungjong,Lee Sungjong,1993-09-03,Infinite,South Korea
Sungjin,Park Sungjin,1993-01-16,DAY6,South Korea
Sungjae,Yook Sungjae,1995-05-02,BtoB,South Korea
Sunghyun,Kim Sunghyun,1996-03-16,IN2IT,South Korea
Sunghyuk,Seo Sunghyuk,1999-08-26,,South Korea
Sunghoon,Park Sunghoon,2002-12-08,ENHYPEN,South Korea
Sungho,Park Sungho,2003-09-04,BOYNEXTDOOR,South Korea
Sungchan,Jung Sungchan,2001-09-13,RIIZE,South Korea
Sumin,Choi Sumin,2004-04-07,xikers,South Korea
Sukjun,Lee Sukjun,2000-01-31,ABLUE,South Korea
Suil,Ma Suil,1999-03-30,Luminous,South Korea
Suhyun,Choi Hyunggeun,1992-10-01,SNUPER,South Korea
Suho,Kim Junmyeon,1991-05-22,EXO,South Korea
Suga,Min Yoongi,1993-03-09,BTS,South Korea
Subin,Jung Subin,1999-04-05,VICTON,South Korea
Steven,Kim Steven,2000-01-17,Luminous,South Korea
Steve,Lim Dohyun,2002-03-09,YOUNITE,South Korea
St. Van,Lee Geumhyuk,1991-12-22,VAV,South Korea
Soul,Haku Shota,2005-02-01,P1Harmony,Japan
Soohyun,Shin Soohyun,1989-03-11,U-KISS,South Korea
Soobin,Choi Soobin,2000-12-05,TXT,South Korea
Song,Song Yunhyeong,1995-02-08,iKON,South Korea
Sohee,Lee Sohee,2003-11-21,RIIZE,South Korea
Sodam,Park Sodam,2004-11-26,BLANK2Y,South Korea
Siyun,Yoon Siyun,2005-01-08,AMPERS&ONE,South Korea
Siyoung,Park Siyoung,2003-05-06,Mirae,South Korea
Siwoo,Yoo Siwoo,2001-05-11,BXB,South Korea
Siwoo,Park Siwoo,2001-02-05,BLANK2Y,South Korea
Siwon,Choi Siwon,1986-04-07,Super Junior,South Korea
Siwan,Yim Siwan,1988-12-01,ZE:A,South Korea
Siu,Hwang Inseok,1995-05-19,DUSTIN,South Korea
Sion,Kim Sion,2004-10-19,YOUNITE,South Korea
Sing,Mak Chun Sing,2002-01-11,XODIAC,Hong Kong
Sihyoung,Kim Sihyoung,1992-05-15,HISTORY,South Korea
Sian,Choi Changmin,2001-02-01,T1419,South Korea
Shownu,Son Hyunwoo,1992-06-18,MONSTA X,South Korea
Shotaro,Osaki Shotaro,2000-11-25,RIIZE,Japan
Shita,Chae Gaho,1998-10-01,JWiiver,Macau
Shinyu,Shin Junghwan,2003-11-07,TWS,South Korea
Shinwon,Go Shinwon,1995-12-11,PENTAGON,South Korea
Shindong,Shin Donghee,1985-09-28,Super Junior,South Korea
Shin Hyesung,Jung Pilkyo,1979-11-27,Shinhwa,South Korea
Shin,Shin Wonho,1991-10-23,CROSS GENE,South Korea
Shin,Kim Suhyun,2000-03-18,Ghost9,South Korea
Shihyun,Kim Shihyun,1998-05-06,We In The Zone,South Korea
Seyoung,Lee Seyoung,1990-02-08,CROSS GENE,South Korea
Seyong,Kim Seyong,1991-11-20,MYNAME,South Korea
Seungyoon,Cho Seungyoon,1996-08-05,UNIQ,South Korea
Seungyeop,Choi Seungyeop,1997-05-08,E'LAST,South Korea
Seungwoo,Han Seungwoo,1994-12-24,VICTON,South Korea
Seungsik,Kang Seungsik,1995-04-16,VICTON,South Korea
Seungri,Lee Seunghyun,1990-12-12,,South Korea
Seungmo,Kim Seungmo,2006-07-03,AMPERS&ONE,South Korea
Seungmin,Bae Seungmin,1998-10-13,Golden Child,South Korea
Seungmin,Kim Seungmin,2000-09-22,Stray Kids,South Korea
Seungkwan,Boo Seungkwan,1998-01-16,Seventeen,South Korea
Seungjun,Ji Seungjun,1998-09-15,Astin,South Korea
Seunghyun,Song Seungyun,1992-08-21,FTISLAND,South Korea
Seunghyun,Lee Seunghyun,2001-12-31,TheEastLight,South Korea
Seunghyun,Lee Seunghyun,1998-07-17,AIMERS,South Korea
Seunghyub,Lee Seunghyub,1992-10-31,N.Flying,South Korea
Seunghwan,Lee Seunghwan,1994-12-10,Romeo,South Korea
Seunghwan,Lee Seunghwan,2000-05-20,1the9,South Korea
Seunghwan,Park Seunghwan,2002-04-06,AIMERS,South Korea
Seunghwan,Jeong Seunghwan,2004-01-27,ATBO,South Korea
Seunghun,Kim Seunghun,1999-02-26,CIX,South Korea
Seungho,Yang Seungho,1987-10-16,MBLAQ,South Korea
Seungho,Kim Seungho,2004-07-19,CMDM,South Korea
Seungheon,Lee Seungheon,2007-05-15,8TURN,South Korea
Seunghan,Lee Seunghan,1996-02-22,DUSTIN,South Korea
Seunghan,Hong Seunghan,2003-10-02,RIIZE,South Korea
Seungeon,Yoo Seungeon,2004-01-02,EVNNE,South Korea
Seungchan,Kang Seungchan,2003-01-01,Newkidd,South Korea
Serim,Park Serim,1999-03-03,CRAVITY,South Korea
Seowon,Seo Won,2000-12-18,NINE.i,South Korea
Seongwu,Ong Seunwu,1995-08-25,Wanna One,South Korea
Seongsoo,Park Seongsoo,1999-04-07,ABLUE,South Korea
Seongmin,Ahn Seongmin,2003-08-01,CRAVITY,South Korea
Seongmin,Oh Sungmin,2001-08-25,ONE PACT,South Korea
Seonglee,Kim Seonglee,1994-04-06,,South Korea
Seonghwa,Park Seonghwa,1998-04-03,ATEEZ,South Korea
Seokhwa,Kang Seokhwa,2000-12-01,WEi,South Korea
Seokcheol,Lee Seokchul,2000-01-11,TheEastLight,South Korea
Seoho,Lee Seoho,1996-06-07,Oneus,South Korea
Seoham,Park Seoham,1993-10-28,KNK,South Korea
Seogoong,Park Hyunho,1992-05-01,,South Korea
Seobin,Woo Seobin,2005-09-02,HAWW,South Korea
Sejun,Lim Sejun,1996-05-04,VICTON,South Korea
Sejin,Lee Sejin,1999-07-22,14U,South Korea
Seita,,2003-02-21,DXMON,Japan
Sehun,Oh Sehun,1994-04-12,EXO,South Korea
Seeun,Park Seeun,2005-08-17,xikers,South Korea
Sebin,Jang Sebin,1996-04-24,SNUPER,South Korea
Sanha,Yoon Sanha,2000-03-21,ASTRO,South Korea
Sangyeon,Lee Sangyeon,1996-11-04,The Boyz,South Korea
Sangwoo,Kim Sangwoo,2002-09-03,JUST B,South Korea
Sangmin,Kim Sangmin,1992-07-07,CROSS GENE,South Korea
Sangil,Shim Sangil,1993-05-01,SNUPER,South Korea
Sanghoon,Lee Sanghoon,1993-12-23,,South Korea
Sangho,Jo Sangho,1995-02-10,SNUPER,South Korea
Sangdo,Yoo Sangdo,1993-03-02,Topp Dogg,South Korea
Sandeul,Lee Junghwan,1992-03-20,B1A4,South Korea
San,Choi San,1999-07-10,ATEEZ,South Korea
Samuel,Kim Samuel,2002-01-17,,South Korea
Sakang,Jeon Sakang,2002-10-26,TheEastLight,South Korea
S.Coups,Choi Seungcheol,1995-08-08,Seventeen,South Korea
Ryujei,Chae Hocheol,1997-11-08,JWiiver,South Korea
Ryeowook,Kim Ryeowook,1987-06-21,Super Junior,South Korea
Rui,Jang Rui,2000-03-07,7 O'clock,South Korea
Rubin,Lee Haejoon,1995-08-16,1TEAM,South Korea
Rowoon,Kim Seokwoo,1996-08-07,,South Korea
Roshin,Bae Sijun,2001-04-13,JWiiver,South Korea
Roni,Jeong Rowoon,1994-07-31,,South Korea
Ron,Cheon Byeonghwa,1991-01-22,WE:A,South Korea
Romin,Choi Youngmin,2001-04-24,E'LAST,South Korea
Rokhyun,Kim Rokhyun,1991-02-10,FAVE1,South Korea
Roel,Kim Sunho,1997-02-13,ARGON,South Korea
Roda,Shin Joongmin,1998-09-19,MONT,South Korea
Rocky,Park Minhyuk,1999-02-25,,South Korea
RM,Kim Namjoon,1994-09-12,BTS,South Korea
Riwoo,Lee Sanghyeok,2003-10-22,BOYNEXTDOOR,South Korea
Rio,Son Gwanghyuk,1999-07-16,14U,South Korea
Riho,Jin Seungwook,1998-03-01,VARSITY,South Korea
Rihan,Choi Yeonsik,1998-05-22,JWiiver,South Korea
Rie,Lee Seungho,1996-11-06,OnlyOneOf,South Korea
Ricky,Yoo Changhyun,1995-02-27,Teen Top,South Korea
Ricky,Shen Quanrui,2004-05-20,ZEROBASEONE,China
Rex,Kim Minjun,2007-07-27,DXMON,South Korea
Renjun,Hwang Renjun,2000-03-23,NCT,China
Ren,Choi Minki,1995-11-03,NU'EST,South Korea
Ravn,Kim Yoongjo,1995-09-02,Oneus,South Korea
Ravi,Kim Wonsik,1993-02-15,VIXX,South Korea
Raots,Ren Yuchen,2000-03-01,JWiiver,China
Rano,Byun Yongseop,1998-12-10,E'LAST,South Korea
Rakwon,Seok Rakwon,2003-11-14,ATBO,South Korea
Rain,Jung Jihoon,1982-06-25,,South Korea
ra.L,Yi Taehyun,2003-09-29,TRENDZ,South Korea
Q,Ji Changmin,1998-11-05,The Boyz,South Korea
PSY,Park Jaesang,1977-12-31,,South Korea
Prince,Pasidh Vataniyapromote,2003-01-10,Ghost9,Thailand
Peniel,Shin Donggeun,1993-03-10,BtoB,South Korea
Park Kyung,Park Kyung,1992-07-08,Block B,South Korea
P.O,Pyo Jihoon,1993-02-02,Block B,South Korea
P-Goon,Park Sehyuk,1991-10-18,,South Korea
Onew,Lee Jinki,1989-12-14,SHINee,South Korea
Onejunn,Jo Wonjun,1988-11-22,Boys Republic,South Korea
On,Choi Juhwan,2002-10-16,T1419,South Korea
On,Kim Dongwoo,1996-11-04,ABLUE,South Korea
O.V,Kim Sanchan,1999-01-03,D-CRUNCH,South Korea
O.de,Oh Seungmin,2002-06-11,Xdinary Heroes,South Korea
Nohyul,Lee Nohyul,2004-06-18,CMDM,South Korea
Noah,Hwang Seundae,1998-03-18,CHECKMATE,South Korea
Noah,Song Yubin,2000-08-02,T1419,South Korea
Nine,Jung Wookjin,1999-12-13,OnlyOneOf,South Korea
Niel,Ahn Daniel,1994-08-16,Teen Top,South Korea
Nichkhun,Nichkhun Horvejkul,1988-06-24,2:00 PM,Thailand
Ni-Ki,Nishimura Riki,2005-12-09,ENHYPEN,Japan
New,Choi Chanhee,1998-04-26,The Boyz,South Korea
Nason,Kim Duyeop,1995-06-12,CHECKMATE,South Korea
Narachan,Jung Hyunwoo,1996-09-23,MONT,South Korea
Nakta,Shin Yooncheol,1993-04-24,,South Korea
N,Cha Hakyeon,1990-06-30,VIXX,South Korea
Myungho,Ji Myungho,2001-10-12,8TURN,South Korea
Muzin,Kim Hyunwoo,2001-03-29,BAE173,South Korea
Munik,Jang Moonik,2001-03-20,Dongkiz,South Korea
Mujin,Ko Sungho,2000-11-20,Kingdom,South Korea
Mu,Suh Kyungmin,2003-09-14,EPEX,South Korea
Moonvok,Jang Moonvok,1995-04-11,Limitless,South Korea
MoonBin†,Moon Bin,1998-01-26,,South Korea
MK,Park Minkyun,1995-11-16,ONF,South Korea
MJ,Kim Myungjun,1994-03-05,ASTRO,South Korea
Mir,Bang Cheolyong,1991-03-10,MBLAQ,South Korea
Mir,Lee Yoonsang,2000-03-06,Astin,South Korea
Minyong,Kang Minyong,2003-09-06,HAWW,South Korea
Minwoo†,Seo Minwoo,1985-02-08,100%,South Korea
Minwoo,No Minwoo,1995-07-31,Boyfriend,South Korea
Minwoo,Ha Minwoo,1990-09-06,ZE:A,South Korea
Minwoo,Lee Minwoo,1979-07-28,Shinhwa,South Korea
Minsung,Kim Minhwi,1996-12-24,Romeo,South Korea
Minsu,Park Minsu,1993-04-15,Boys Republic,South Korea
Minsu,Kim Minsu,2000-03-20,TOO,South Korea
Minseo,Kim Minseo,2002-05-13,DRIPPIN,South Korea
Minseo,Kang Minseo,2001-07-22,FANTASY BOYS,South Korea
Minpyo,Gook Minpyo,1994-11-15,B.I.G,South Korea
Mino,Song Minho,1993-03-30,WINNER,South Korea
Minjun,Kim Minjun,1999-02-26,NINE.i,South Korea
Minjae,Jo Minjae,1994-08-08,Spectrum,South Korea
Minjae,Song Minjae,2003-08-23,MCND,South Korea
Minjae,Kim Minjae,2003-04-10,xikers,South Korea
Minjae,Baek Minjae,2003-07-09,DXMON,South Korea
Minhyun,Hwang Minhyun,1995-08-09,NU'EST,South Korea
Minhyuk,Lee Minhyuk,1990-11-29,BtoB,South Korea
Minhyuk,Lee Minhyuk,1993-11-03,MONSTA X,South Korea
Minhyuk,Kang Minhyuk,1991-06-28,CNBLUE,South Korea
Minhyuk,Kim Minhyuk,1999-11-06,D-CRUNCH,South Korea
Minhyuk,Yoon Minhyuk,2001-07-11,WEUS,South Korea
Minhwan,Choi Minhwan,1992-11-11,FTISLAND,South Korea
Minho,Choi Minho,1991-12-09,SHINee,South Korea
Minho,Lee Minho,1995-09-04,MY.st,South Korea
Minho,Yang Minho,2002-10-14,8TURN,South Korea
Minhee,Kang Minhee,2002-09-17,CRAVITY,South Korea
Mingyu,Kim Mingyu,1997-04-06,Seventeen,South Korea
Mingi,Son Mingi,1999-08-09,ATEEZ,South Korea
Minchan,Hong Minchan,1998-09-16,Verivery,South Korea
Min,Lee Mincheon,1997-10-16,We In The Zone,South Korea
Milo,Kim Minhak,1996-08-20,Romeo,South Korea
Mill,Lee Yongsoo,1999-03-30,OnlyOneOf,South Korea
Mikey,Morisaki Daisuke,2001-05-05,BLANK2Y,Japan
Max Changmin,Shim Changmin,1988-02-18,TVXQ,South Korea
Matthew,Seok Matthew,2002-05-28,ZEROBASEONE,Canada
Mashiho,Takata Mashiho,2001-03-25,Treasure,Japan
Mark,Mark Lee,1999-08-02,NCT,Canada
Mark,Mark Yien Tuan,1993-09-04,GOT7,USA
Marco,Lee Hyunggeun,1994-05-11,Hot Blood Youth,South Korea
Manny,Syo Dongchun,2001-11-17,VARSITY,China
Mackiyah,Mackiah Yejun Mercer,2006-01-21,AMPERS&ONE,Australia
Lutan,Choi Gyeongseok,2003-12-06,BLITZERS,South Korea
Lune,Jung Sungmin,2000-02-27,DKB,South Korea
Luhan,Lu Han,1990-04-20,,China
Luha,Lee Gyeonghun,1993-02-15,14U,South Korea
Lucas,Wong Junghei,1999-01-25,,Hong Kong
Love,Park Jisung,1994-01-17,,South Korea
Louis,Kim Taewoo,1999-04-23,BLANK2Y,South Korea
Louis,Yang Dongsik,2001-04-08,Kingdom,South Korea
Louii,Park Seonghoon,2004-03-06,HAWW,South Korea
Loudi,Won Jihoon,1996-04-13,14U,Indonesia
Lou,Kim Hosung,1996-12-21,VAV,South Korea
Longguo,Jin Longguo,1996-03-02,JBJ,China
